mjd,da,da_std,db,db_std,dac,dac_std,dbc,dbc_std,dd,dd_std,ddc,ddc_std,t1,t2,t3,t4,t5,t6,t7,t8,pressure,date
58046.57146990741,0.0,0.01906716493367513,0.0,0.021275560336512418,0.0,0.02896841482748942,0.0,0.029991390578840427,0.0778356250000769,0.042096185833165274,0.07753727930912646,0.0460685908433444,-113.23251785714282,10.893999999999949,10.721249999999998,10.719363636363653,10.550727272727329,10.499500000000012,10.421181818181878,10.514909090909157,1.8574545454545452e-06,2017-10-20
58047.699953703705,-0.006290190000072471,0.035512606982782996,-0.006436505000010584,0.039082416085512196,-0.006458617917360243,0.03964918226503427,-0.006476744169049198,0.040792838502808904,0.07735927499999207,0.041996921474861656,0.07665885848405196,0.04616789931608396,-113.23002380952377,10.891916666666646,10.719500000000039,10.717818181818245,10.549000000000035,10.499083333333317,10.420272727272788,10.514272727272726,2.05875e-06,2017-10-21
58048.74883101852,-0.0013291900000922396,0.035525876944295556,-0.0014917100000957362,0.03819160941621267,-0.0015796872608007106,0.03916331723694109,-0.0012231154296387103,0.040974906950719536,0.07788944999992964,0.042309829174033385,0.07779556097239038,0.04650364065316876,-113.2311458333333,10.888916666666717,10.716833333333398,10.715272727272747,10.546083333333456,10.496166666666738,10.41772727272729,10.510545454545422,1.926090909090909e-06,2017-10-22
58049.65064814815,0.0015440799998032162,0.03400472689669144,0.0012608100000051081,0.03713625581916431,0.0013712907834815269,0.03812960618599414,0.0013660468335956466,0.03982259465683338,0.07796382999998741,0.0395389202700721,0.07722444326827826,0.043913799588701515,-113.23168452380949,10.887545454545489,10.714833333333388,10.71390909090917,10.544636363636357,10.49483333333336,10.41590909090911,10.509416666666652,1.9392500000000005e-06,2017-10-23
58050.66484953704,-0.0003973349998886988,0.033834998699159805,-0.00039004000018394436,0.03627482867253651,-0.0005712789250083006,0.038286779110099894,-0.0006495159959740704,0.03952500033452922,0.07814139999982217,0.0413751045914655,0.07796855106438727,0.04591753735368929,-113.23066666666665,10.885166666666635,10.712833333333322,10.711545454545501,10.542833333333363,10.492416666666713,10.415363636363622,10.507818181818209,2.0642727272727274e-06,2017-10-24
58051.68483796297,-0.006599530000130471,0.03591236622406273,-0.006700959999989209,0.038754007594581315,-0.006667596742545356,0.03941347340317629,-0.006674467988432298,0.04063359702269819,0.07793487000026289,0.040791415513083344,0.07711933021141704,0.045429247352602724,-113.2290625,10.886272727272797,10.713583333333304,10.712454545454591,10.543545454545495,10.49358333333339,10.415090909090907,10.508583333333377,1.7216363636363634e-06,2017-10-25
58052.63203703704,0.0008224600000517057,0.036505376986769554,-6.341999960568501e-05,0.04016511180883961,0.0006454364656747202,0.03970258006431943,0.0001304300419633364,0.04135826691099251,0.07734953000004907,0.04085836608120015,0.07706999526317304,0.045224893129051986,-113.23253896103893,10.88809090909092,10.715727272727293,10.71425000000005,10.545727272727333,10.496250000000032,10.417416666666725,10.511000000000024,2.0943636363636364e-06,2017-10-26
58053.71224537037,0.0042498450001176025,0.035324690745035414,0.003448179999850254,0.03858662945708737,0.004143738074617431,0.03885025564625989,0.0037198000072748982,0.041048134811223144,0.07703047999984847,0.04152715995243813,0.07685317470759401,0.04589013921325364,-113.23129761904761,10.886818181818114,10.714833333333331,10.71290909090908,10.543909090909096,10.494916666666654,10.416250000000048,10.50941666666671,2.2379090909090908e-06,2017-10-27
58054.70533564815,0.017890650000026653,0.033835966114596716,0.017312019999963013,0.035375164224145106,0.017700923183838313,0.03761945838974662,0.017259017243759445,0.039418704824754486,0.07757816000003004,0.040400348157167615,0.07730834539052012,0.044991741390418435,-113.22923809523809,10.882818181818209,10.71033333333338,10.70909090909089,10.539727272727305,10.490000000000009,10.411090909090944,10.504454545454564,2.554e-06,2017-10-28
58055.639027777775,0.02347762999988845,0.036569999665693236,0.023358355000027586,0.03926164141509325,0.02325177928469202,0.03972764239819903,0.02328439013933803,0.041691807668853255,0.07746706999978414,0.042535847638291824,0.07726829988087047,0.046376200044985376,-113.2297857142857,10.880090909090882,10.707750000000033,10.70609090909096,10.53727272727275,10.487250000000074,10.409090909090992,10.502416666666761,2.525083333333333e-06,2017-10-29
