bjd,nzp,tzp_med,tzp_gauss,tzp_weight,tzp_mean,t1,t2,t3,t4,t5,t6,t7,t8
2458058.4223,-1.1692585752283626,96.90627066591212,97.28993976616218,96.35696664444538,97.39760185940308,10.87309090909099,10.700818181818192,10.699333333333357,10.530272727272743,10.480545454545506,10.40191666666675,10.49550000000005,10.369181818181858
2458059.4372,2.210005256999055,97.11112940317008,97.33569849666247,95.9738661250196,96.88538800152492,10.874166666666667,10.70150000000001,10.70027272727276,10.53172727272721,10.481583333333331,10.40300000000002,10.496363636363697,10.370000000000005
2458079.4385,-1.1987172770026429,96.85540009416036,96.88486396319722,96.3323348436832,97.12996849964053,10.790818181818167,10.618166666666696,10.61700000000002,10.447727272727263,10.398499999999956,10.320000000000109,10.413250000000003,10.287181818181809
2458084.3897,1.0418680957753876,96.86386985590806,97.21105059443964,96.9855526836985,97.6412104420145,10.783083333333366,10.611333333333334,10.60981818181824,10.440363636363656,10.390916666666726,10.311909090909126,10.40590909090912,10.279416666666634
2458109.3484,1.1288228273807157,98.45478396762704,98.4951799333764,96.1675650912727,96.6956597765502,10.759000000000071,10.58600000000007,10.58472727272732,10.41718181818186,10.368000000000052,10.288818181818217,10.382454545454609,10.256416666666668
2458120.3339,-2.0975463001744186,97.64320330024202,97.7894648134118,97.3387538615773,98.37216274839844,10.765666666666732,10.59318181818179,10.59183333333334,10.423333333333346,10.374545454545457,10.29533333333336,10.389500000000057,10.26400000000001
2458316.6617,0.5273168284612957,96.2930043081284,96.64237256493014,95.7037539127345,96.48916993725894,10.853727272727326,10.681363636363642,10.680090909090891,10.510090909090934,10.458399999999983,10.380100000000027,10.473090909090956,10.34736363636364
2458327.6334,1.312954784975474,95.39491147984552,95.30090187586292,94.38402540889284,95.29892288034702,10.88145454545463,10.709750000000042,10.70700000000005,10.53818181818184,10.487363636363682,10.408833333333348,10.50225000000006,10.376000000000031
2458329.6058,-0.5444540627692319,96.19257516310292,96.0883463426891,95.51006547678227,96.38585288528355,10.87999999999994,10.707416666666688,10.705727272727302,10.537000000000036,10.48500000000007,10.405916666666656,10.499916666666708,10.37336363636365
2458333.5999,1.7682747859631824,96.52983937736504,96.30715119342985,95.68928550315684,96.50166229658844,10.884916666666696,10.71272727272725,10.711666666666645,10.541583333333335,10.490454545454554,10.411454545454546,10.50541666666669,10.379250000000011
2458335.65,0.665217625822184,95.30249600145255,95.56747615909032,94.44923317536926,95.25283072441276,10.88554545454548,10.712636363636364,10.710909090909126,10.5418181818182,10.49054545454544,10.41170000000011,10.504909090909052,10.379090909090962
2458337.6446,1.97821944495242,96.1234146205772,96.02307694536177,95.60717161579647,96.38466947043236,10.888750000000016,10.715916666666716,10.714999999999977,10.545363636363676,10.49354545454554,10.41424999999998,10.508166666666682,10.381636363636405
2458342.6014,-0.5270002966153626,95.9114841285174,96.02252245963888,95.10671368254916,95.96995810050969,10.89224999999999,10.71954545454554,10.717833333333374,10.548333333333346,10.497636363636389,10.41790909090912,10.512333333333288,10.385545454545422
2458346.6256,1.0088183098147234,96.00826018203772,96.03596827959278,94.84741197990355,95.67918658695534,10.88827272727275,10.715833333333364,10.714181818181771,10.54454545454547,10.492833333333351,10.413166666666712,10.507083333333355,10.380363636363654
2458349.6278,-1.15333957904967,96.07180935670208,96.26035103648098,95.03451917012327,95.84709637835124,10.87375000000003,10.701250000000016,10.699750000000051,10.530454545454518,10.47790909090918,10.399250000000052,10.492583333333355,10.366363636363587
2458351.578,0.914446311044409,96.14046162758476,96.15234062594442,95.09417541339316,95.97949783025848,10.86775,10.695363636363652,10.693833333333371,10.524272727272717,10.47063636363646,10.39125000000007,10.485250000000008,10.35936363636364
2458353.5168,1.321321718311948,95.46648658990216,95.886005796671,94.65892513730614,95.66235372750243,10.865083333333304,10.692454545454495,10.691333333333375,10.521545454545503,10.469727272727312,10.390454545454531,10.48416666666668,10.35845454545455
2458355.5752,-1.4820522923423,96.38654051937333,96.29733006022757,95.30641675516456,95.9959153741242,10.862250000000074,10.68918181818185,10.688000000000043,10.518750000000011,10.4673636363637,10.38772727272726,10.481166666666638,10.355272727272734
2458357.5598,-0.7541637478381773,95.85207557192346,96.10056723885496,95.23011457412642,95.97438388068774,10.857999999999947,10.685454545454604,10.68408333333332,10.515250000000036,10.462833333333322,10.384000000000016,10.477833333333422,10.351416666666694
2458360.5943,1.2204936964022477,95.8217917565725,95.9871055707997,94.6924809381808,95.45082898496769,10.860090909090957,10.68745454545467,10.686333333333325,10.516500000000065,10.464000000000055,10.385636363636308,10.47950000000003,10.352909090909122
