mjd,da,da_std,db,db_std,dac,dac_std,dbc,dbc_std,dd,dd_std,ddc,ddc_std,t1,t2,t3,t4,t5,t6,t7,t8,pressure,date
58046.57146990741,0.0,0.01906716493367513,0.0,0.021275560336512418,0.0,11.060215226069118,0.0,11.13556995461501,0.0778356250000769,0.042096185833165274,0.07741384433529674,11.15292019960138,10.893999999999949,10.721214285714268,10.719466666666733,10.5506666666667,10.499500000000012,10.421133333333444,10.514857142857181,10.38778571428577,1.8589655172413793e-06,2017-10-20
58047.699953703705,-0.006290190000072471,0.035512606982782996,-0.006436505000010584,0.039082416085512196,-0.006358625876828228,11.08890292228273,-0.006502490854018106,11.17806739967013,0.07735927499999207,0.041996921474861656,0.07636166725046678,11.11214567234778,10.891928571428537,10.719357142857177,10.718000000000075,10.549071428571438,10.499142857142886,10.420333333333417,10.514133333333405,10.38771428571431,2.0606428571428573e-06,2017-10-21
58048.74883101852,-0.0013291900000922396,0.035525876944295556,-0.0014917100000957362,0.03819160941621267,-0.001549462083630715,11.10878371559095,-0.0012319005222707347,11.157707975713782,0.07788944999992964,0.042309829174033385,0.07753651222867575,11.111476227666444,10.88907142857147,10.71685714285718,10.715399999999931,10.546071428571508,10.496285714285762,10.4178,10.510933333333298,10.384642857142865,1.927689655172414e-06,2017-10-22
58049.65064814815,0.0015440799998032162,0.03400472689669144,0.0012608100000051081,0.03713625581916431,0.00139242619320612,11.096097522102434,0.001456997767490975,11.165493491312624,0.07796382999998741,0.0395389202700721,0.07716165306408129,11.112113348800689,10.887571428571448,10.71485714285717,10.713866666666718,10.54460000000006,10.49471428571428,10.415666666666652,10.509428571428543,10.38307142857144,1.938241379310345e-06,2017-10-23
58050.66484953704,-0.0003973349998886988,0.033834998699159805,-0.00039004000018394436,0.03627482867253651,-0.0006648472972301533,11.123767398378803,-0.000610342681397924,11.17789069107949,0.07814139999982217,0.0413751045914655,0.07816624869474254,11.161365180774293,10.885214285714255,10.712928571428563,10.711866666666708,10.542785714285685,10.492500000000007,10.414999999999964,10.507799999999975,10.381285714285752,2.057e-06,2017-10-24
58051.68483796297,-0.006599530000130471,0.03591236622406273,-0.006700959999989209,0.038754007594581315,-0.00681474453148212,11.118165876602514,-0.006613207975306068,11.18768955884321,0.07793487000026289,0.040791415513083344,0.07730720053393725,11.150608897116959,10.8862666666667,10.713571428571413,10.712600000000066,10.543666666666695,10.493571428571443,10.414857142857159,10.508642857142888,10.381928571428546,1.7712068965517241e-06,2017-10-25
58052.63203703704,0.0008224600000517057,0.036505376986769554,-6.341999960568501e-05,0.04016511180883961,0.0006585119881492574,11.105107316220773,6.89347615434599e-05,11.172013982913874,0.07734953000004907,0.04085836608120015,0.07679700066410078,11.11770284549253,10.888133333333371,10.715785714285744,10.714285714285722,10.545600000000093,10.496285714285762,10.417428571428616,10.511000000000024,10.384733333333315,2.088896551724138e-06,2017-10-26
58053.71224537037,0.0042498450001176025,0.035324690745035414,0.003448179999850254,0.03858662945708737,0.004047370725402288,11.101274952605669,0.003752729854113568,11.180242900975536,0.07703047999984847,0.04152715995243813,0.0770329695901637,11.135699077529226,10.886799999999937,10.71485714285717,10.713071428571425,10.543866666666702,10.495000000000061,10.41628571428572,10.5094285714286,10.383642857142888,2.2408620689655172e-06,2017-10-27
58054.70533564815,0.017890650000026653,0.033835966114596716,0.017312019999963013,0.035375164224145106,0.017667894256874206,11.115365852146132,0.0172564504039201,11.145835441450068,0.07757816000003004,0.040400348157167615,0.07721215755105959,11.11202681292724,10.88285714285712,10.7102142857143,10.70920000000001,10.539733333333345,10.490000000000009,10.41093333333339,10.504500000000007,10.378285714285767,2.5591379310344825e-06,2017-10-28
58055.639027777775,0.02347762999988845,0.036569999665693236,0.023358355000027586,0.03926164141509325,0.023241249271897857,11.097287417695986,0.02330241683580425,11.191392773242937,0.07746706999978414,0.042535847638291824,0.07723343088218826,11.12910861014798,10.88006666666655,10.707785714285762,10.706200000000024,10.537400000000048,10.487285714285747,10.409071428571508,10.502357142857193,10.375785714285655,2.52575e-06,2017-10-29
58057.62625,0.026003580000178772,0.0343286662781164,0.026211110000076587,0.03726589206341612,0.025697395599877382,11.092401362305855,0.02632403461757349,11.170328449581568,0.07804625000005672,0.03995225361160018,0.07733114293068866,11.119524652554562,10.874428571428552,10.701999999999941,10.700571428571493,10.531571428571397,10.481000000000051,10.40235714285717,10.49606666666665,10.369400000000041,1.6983448275862067e-06,2017-10-31
58058.70261574074,0.01921901000014259,0.03444356130393144,0.01934006000010413,0.0384292271018011,0.01922033574305715,11.09387704634257,0.019290390481160102,11.174973588593733,0.07809982999992826,0.03988893343814449,0.07730071589708132,11.116963693479265,10.874428571428552,10.70206666666661,10.70085714285716,10.532928571428556,10.481799999999964,10.403214285714284,10.49707142857153,10.370533333333356,2.594344827586207e-06,2017-11-01
58059.65423611111,0.02125054500001511,0.03270230137506615,0.02116647999991983,0.035956292453121506,0.021155934859336867,11.07281197378291,0.021233469646176673,11.16745474365313,0.07754842999997891,0.04027669198002334,0.07706847310964804,11.098129517927672,10.875999999999976,10.703533333333326,10.702214285714263,10.533000000000015,10.483733333333362,10.40564285714288,10.499071428571426,10.372933333333378,2.571103448275862e-06,2017-11-02
