2457395.77165 nan nan nan nan nan car-20160108T06h18m08s-sci-gtoc-vis.fits
2457400.72878 nan nan nan nan nan car-20160113T05h18m26s-sci-gtoc-vis.fits
2457401.72977 nan nan nan nan nan car-20160114T05h20m02s-sci-gtoc-vis.fits
2457414.64092 -17160.8 40.8278 nan nan nan car-20160127T03h07m56s-sci-gtoc-vis.fits
2457415.64256 -17159.9 41.4593 nan nan nan car-20160128T03h12m33s-sci-gtoc-vis.fits
2457418.5967 -17179.7 40.7515 nan nan nan car-20160131T02h04m39s-sci-gtoc-vis.fits
2457441.69153 -17167.2 41.4581 nan nan nan car-20160223T04h16m43s-sci-gtoc-vis.fits
2457473.55778 -4399.69 40.3424 nan nan nan car-20160326T01h10m52s-sci-gtoc-vis.fits
2457492.47855 nan nan nan nan nan car-20160413T23h13m53s-sci-gtoc-vis.fits
2457504.43998 -17148.5 38.3836 nan nan nan car-20160425T22h23m13s-sci-gtoc-vis.fits
2457530.41983 -17168.9 41.2081 nan nan nan car-20160521T21h56m22s-sci-gtoc-vis.fits
2457543.4342 -17175.5 41.3579 nan nan nan car-20160603T22h16m47s-sci-gtoc-vis.fits
2457559.46711 -21981.6 42.679 nan nan nan car-20160619T23h05m50s-sci-gtoc-vis.fits
2457704.72283 -17171.8 39.2591 nan nan nan car-20161112T05h15m09s-sci-gtoc-vis.fits
2457760.70471 -17174.4 39.9588 nan nan nan car-20170107T04h45m58s-sci-gtoc-vis.fits
2457761.74262 -17182.9 41.1767 nan nan nan car-20170108T05h42m09s-sci-gtoc-vis.fits
2457763.74981 -17179.6 41.0858 nan nan nan car-20170110T05h43m31s-sci-gtoc-vis.fits
2457779.70968 -17189.1 43.1861 nan nan nan car-20170126T04h47m28s-sci-gtoc-vis.fits
2457798.57807 -17162.6 38.6441 nan nan nan car-20170214T01h41m47s-sci-gtoc-vis.fits
2457806.63367 -17177.5 43.7881 nan nan nan car-20170222T02h55m24s-sci-gtoc-vis.fits
2457824.57562 -17153.8 45.5224 nan nan nan car-20170312T01h36m57s-sci-gtoc-vis.fits
2457829.55208 -17143.1 43.6159 nan nan nan car-20170317T00h59m51s-sci-gtoc-vis.fits
2457883.59506 -17166.7 43.5861 nan nan nan car-20170510T02h04m59s-sci-gtoc-vis.fits
2458041.72588 -17162.0 38.2613 nan nan nan car-20171015T05h23m02s-sci-gtoc-vis.fits
2458053.70347 -17156.6 37.2677 nan nan nan car-20171027T04h45m08s-sci-gtoc-vis.fits
2458055.70097 -17150.6 39.6248 nan nan nan car-20171029T04h44m42s-sci-gtoc-vis.fits
2458056.69495 -17170.2 41.6309 nan nan nan car-20171030T04h35m09s-sci-gtoc-vis.fits
2458084.61969 -17169.2 42.0001 nan nan nan car-20171127T02h41m37s-sci-gtoc-vis.fits
2458092.69289 -17172.3 39.7395 nan nan nan car-20171205T04h29m20s-sci-gtoc-vis.fits
2458093.58927 -17172.1 39.0498 nan nan nan car-20171206T01h56m51s-sci-gtoc-vis.fits
2458095.75894 -17160.3 39.9829 nan nan nan car-20171208T06h03m43s-sci-gtoc-vis.fits
2458105.59264 -17131.9 39.4212 nan nan nan car-20171218T02h00m48s-sci-gtoc-vis.fits
2458109.64812 -17157.0 42.3609 nan nan nan car-20171222T03h20m37s-sci-gtoc-vis.fits
2458110.68665 -17157.0 39.3826 nan nan nan car-20171223T04h18m31s-sci-gtoc-vis.fits
2458112.75762 -17174.9 37.7202 nan nan nan car-20171225T06h00m53s-sci-gtoc-vis.fits
2458117.70027 -17150.9 39.4546 nan nan nan car-20171230T04h38m13s-sci-gtoc-vis.fits
2458118.75419 -17168.6 43.4703 nan nan nan car-20171231T05h50m52s-sci-gtoc-vis.fits
2458122.76559 -17142.5 39.7478 nan nan nan car-20180104T06h12m56s-sci-gtoc-vis.fits
2458135.72999 -17158.8 39.8887 nan nan nan car-20180117T05h19m34s-sci-gtoc-vis.fits
2458140.6674 -17182.8 39.2166 nan nan nan car-20180122T03h50m35s-sci-gtoc-vis.fits
2458141.57751 -17192.1 39.177 nan nan nan car-20180123T01h41m27s-sci-gtoc-vis.fits
2458166.65791 -17219.5 38.2539 nan nan nan car-20180217T03h35m07s-sci-gtoc-vis.fits
2458175.53974 -17185.2 41.8748 nan nan nan car-20180226T00h43m14s-sci-gtoc-vis.fits
2458205.56075 -17167.2 40.9775 nan nan nan car-20180328T01h15m40s-sci-gtoc-vis.fits
2458207.63394 -17201.5 41.1637 nan nan nan car-20180330T02h57m48s-sci-gtoc-vis.fits
2458209.60911 -17150.5 40.0815 nan nan nan car-20180401T02h25m20s-sci-gtoc-vis.fits
