bjd,rvc,e_rvc,avc,e_avc,nzp_date,e_nzp_date,nzp,e_nzp,tzp_pix,tzp_median,tzp_gauss,tzp_weighted,tzp_mean,dd_m_date,dd_moes_date,dd_moes_obs,pix2ms,t1,t2,t3,t4,t5,t6,t7,t8,pressure,starid,spt
2458682.402,15.544499,1.667995,3.5351647868232448,1.762512557402044,1.2962811712233009,0.6037615127201122,-0.0629315001528477,0.5694235637685657,[0.06721017 0.05274652 0.07203041 ... 0.15559458 0.10281249 0.01909004],94.83462654871606,94.72285123602377,93.41741855668423,94.31354793855238,0.07605377999993834,0.0738470599858374,0.07384095638553845,1259.0014457284237,10.963999999999999,10.790999999999997,10.790090909090907,10.620333333333349,10.567583333333403,10.488363636363658,10.582181818181766,10.45566666666673,1.7116666666666669e-06,J18427+596S,['M3.5 V']
2458684.6174,18.735206,2.208048,5.682149256977102,2.428824557211373,2.5186229520494114,0.930440671527074,0.9807910296932972,1.011786914033298,[0.1103161  0.09535602 0.09232801 ... 0.19109536 0.06469633 0.04545055],94.90108037862102,95.1451719551692,94.1302646170567,95.06896631002424,0.0764208000000508,0.07530347081592481,0.07529091148626321,1259.792124991367,10.947083333333296,10.77466666666669,10.773727272727285,10.604000000000042,10.55191666666667,10.472583333333375,10.566181818181803,10.439833333333354,1.8262727272727273e-06,J18427+596S,['M3.5 V']
2458686.5597,18.838884,1.442723,5.66264964706212,2.14594470958337,2.812444981097092,1.39627859118459,1.1039686396082764,1.5885934161577822,[0.07354556 0.08622877 0.09394111 ... 0.11041467 0.05299626 0.05784805],94.8361070784387,94.99681834406108,93.87931461068177,94.76874957161066,0.07629197999995085,0.07645765828056028,0.0764562163562914,1259.016628117738,10.934727272727287,10.761909090909114,10.761000000000024,10.591916666666691,10.539818181818191,10.460545454545525,10.55475000000007,10.427727272727282,1.7756363636363639e-06,J18427+596S,['M3.5 V']
2458688.4637,17.547891,1.352117,6.367348270313417,1.517692305261179,0.5440872037738596,0.6533264962337222,-0.8917229836430198,0.6893254324047474,[0.09361296 0.08623262 0.09837948 ... 0.13482115 0.03342568 0.12473382],95.02722893544126,94.91986797180206,94.48271358698977,95.47112465983102,0.07635736000020188,0.07309943406289676,0.07309695820140405,1259.100898308182,10.933583333333331,10.760916666666674,10.759727272727275,10.590727272727293,10.538083333333361,10.459750000000042,10.552999999999997,10.426666666666733,1.9149166666666664e-06,J18427+596S,['M3.5 V']
2458690.4297,15.563447,1.573438,2.749239754068304,1.935080225505884,1.8423621205090284,1.0701362144637734,0.741941532602093,1.1264228066316406,[0.09386745 0.07842461 0.11974332 ... 0.12097817 0.01359547 0.0999741 ],95.17123931138347,95.35225444432926,93.9828240394657,94.88667428553848,0.07624936500002377,0.07704050079416902,0.07703901052911988,1259.6936805436117,10.932583333333355,10.759454545454616,10.75875000000002,10.589727272727316,10.53727272727275,10.458833333333416,10.552750000000003,10.426000000000045,1.8868181818181818e-06,J18427+596S,['M3.5 V']
2458693.561,18.730878,1.401811,6.332965835114887,1.540548731043105,1.691864555212125,0.650959979262519,0.3256464515555106,0.638918080036495,"[ 0.07930072  0.0559671   0.11637403 ...  0.13214364 -0.08114402
  0.15078375]",95.51167882893358,95.2908098617563,94.71188299851195,95.63240234956488,0.07676777999995466,0.07683105641444854,0.07682756178655836,1259.6053282653797,10.923000000000002,10.75018181818183,10.749083333333317,10.579833333333397,10.526454545454612,10.447666666666635,10.541666666666629,10.41500000000002,1.93375e-06,J18427+596S,['M3.5 V']
2458695.5452,18.329035,2.279125,5.423409711288259,2.520147800016814,1.798105109766083,0.8685822121642904,0.8333595753821392,1.0755157685057837,[0.09184808 0.08054632 0.11432577 ... 0.15623991 0.00320956 0.01143446],94.75599942358859,94.99634554461319,93.75458711168977,94.70509233341478,0.07608872000014344,0.0759824773363107,0.07597850358615688,1257.1144156313026,10.920916666666699,10.747833333333404,10.746727272727355,10.578454545454576,10.524583333333396,10.44633333333337,10.540090909090907,10.41358333333335,1.9991666666666664e-06,J18427+596S,['M3.5 V']
2458697.6672,19.564708,1.459314,8.100578291497397,1.6471437659214585,0.8061848405688421,0.8262340674074756,-0.6081360048270009,0.7638620523484088,[0.09599478 0.09507145 0.09371837 ... 0.14877692 0.01739155 0.02259165],94.64992356287816,94.75965023432643,94.05653851963135,94.99384154915126,0.07622076000006928,0.0772035644818061,0.07720307372755997,1256.380588781008,10.915833333333296,10.743181818181824,10.741499999999974,10.573363636363581,10.520000000000039,10.441416666666669,10.53533333333337,10.408636363636447,1.99475e-06,J18427+596S,['M3.5 V']
2458701.3818,17.426722,1.403241,4.44606102576194,1.5590031348018203,2.3615409438133645,0.6779593016617274,0.9083952609084576,0.6792683344900617,[0.10138731 0.09242579 0.08495878 ... 0.08739658 0.15110303 0.1154605 ],94.41962013380945,94.41855997036397,93.20091817088004,94.11674264144102,0.07548886999984461,0.07453710526556279,0.07453572435292699,1258.7205216039733,10.918000000000063,10.745000000000005,10.744416666666723,10.575636363636363,10.522636363636423,10.444416666666768,10.537916666666717,10.412181818181864,2.2667272727272727e-06,J18427+596S,['M3.5 V']
2458704.4094,16.091237,1.079623,3.944263700502191,1.383750016668058,1.3961150993613358,0.8040334494019619,0.0747075861682057,0.8655508572578796,[0.08905297 0.08348485 0.09411461 ... 0.11132394 0.03035943 0.04802463],94.09972581558533,94.3227937956288,93.24366232737086,94.32867180776273,0.07609681500002807,0.07468010667440694,0.07467500831251073,1259.0647804245154,10.91566666666671,10.74272727272728,10.741666666666674,10.572833333333335,10.52054545454547,10.441666666666663,10.534833333333438,10.408818181818276,2.1670833333333337e-06,J18427+596S,['M3.5 V']
2458706.4078,16.77667,1.245081,4.516484957575474,1.600304749385404,1.5851592882297807,0.9176161754766486,0.1879193290949223,1.0053599327327902,[0.06555288 0.05620888 0.08758705 ... 0.11653269 0.02124224 0.16732144],94.88061006938092,95.14296964689558,94.02173026697308,95.07130175116026,0.07631831999992755,0.07432270026163224,0.07431865436501539,1259.165597123586,10.915166666666664,10.742416666666657,10.741181818181872,10.572727272727263,10.519833333333338,10.441000000000031,10.534272727272821,10.408666666666704,2.1885833333333334e-06,J18427+596S,['M3.5 V']
