bjd,rvc,e_rvc,avc,e_avc,nzp_date,e_nzp_date,nzp,e_nzp,tzp_pix,tzp_median,tzp_gauss,tzp_weighted,tzp_mean,dd_m_date,dd_moes_date,dd_moes_obs,pix2ms,t1,t2,t3,t4,t5,t6,t7,t8,pressure,starid,spt
2458079.4385,-1.922315,0.920082,-3.180636007188744,1.2731955959679202,-0.1692807429489732,0.8633825693264283,-1.1987172770026429,0.8800432596572215,[0.0761336  0.07961407 0.08711548 ... 0.12864229 0.01065003 0.04147725],96.85540009416036,96.88486396319722,96.3323348436832,97.12996849964053,0.07778994000000239,0.07773333748400546,0.07772183304587088,1258.1625887611203,10.790818181818167,10.618166666666696,10.617000000000019,10.447727272727263,10.398499999999956,10.320000000000107,10.413250000000005,10.287181818181807,4.605363636363637e-06,J00067-075,['M5.5 V']
2458084.3897,1.416073,1.194834,-2.082833379966775,2.058151235232947,1.5175418513142287,1.47228665361965,1.0418680957753876,1.6758156878174,[0.06920187 0.08090018 0.0641661  ... 0.04658841 0.00449326 0.06783236],96.86386985590806,97.21105059443963,96.9855526836985,97.6412104420145,0.07805084999995415,0.07691604526064566,0.07691255237239147,1259.06619277612,10.783083333333366,10.611333333333334,10.609818181818241,10.440363636363656,10.390916666666726,10.311909090909126,10.40590909090912,10.279416666666634,5.302166666666667e-06,J00067-075,['M5.5 V']
2458092.3591,1.886771,0.798771,2.046631801165504,1.1863323371333985,-1.1271271826107037,0.8482218499284565,-2.6168990853568905,0.8771255917412231,[0.11382832 0.08271159 0.11182297 ... 0.0884214  0.02750484 0.10854893],97.69345812756511,97.29367703219191,96.92271463560775,97.91538317719159,0.07795398500002193,0.07795995281571777,0.07795662275702853,1259.422871060206,10.77636363636367,10.603727272727326,10.602416666666727,10.434181818181798,10.385833333333323,10.306416666666678,10.400750000000073,10.273727272727285,6.406916666666667e-06,J00067-075,['M5.5 V']
2458095.3529,4.931067,1.087577,5.776569383981962,1.422188019268864,-2.3952803131521967,0.8256665050715157,-3.30254066817335,0.9164033125337856,[0.07735528 0.17785854 0.05557131 ... 0.08558113 0.01960107 0.09484812],96.64822044063875,96.66237412425275,96.29302305905263,96.87346417061774,0.07730678000007174,0.07634079473336897,0.07633593775426561,1260.088340873127,10.779500000000041,10.607166666666672,10.60627272727271,10.437083333333362,10.388583333333315,10.309454545454514,10.403363636363622,10.277000000000044,5.9069999999999995e-06,J00067-075,['M5.5 V']
2458109.3484,3.04458,1.050633,-0.5412811115721026,1.3267241392481042,1.5955877826139004,0.7921542859084154,1.1288228273807157,0.8101649467698679,[0.09415151 0.08651962 0.09075131 ... 0.15610155 0.02062732 0.0631039 ],98.45478396762704,98.49517993337639,96.1675650912727,96.6956597765502,0.07904314999996132,0.07669858315557576,0.07669717968519763,1260.1044136190226,10.759000000000071,10.58600000000007,10.58472727272732,10.41718181818186,10.368000000000052,10.288818181818215,10.382454545454607,10.256416666666667,7.756454545454544e-06,J00067-075,['M5.5 V']
2458120.3339,-1.204914,1.933178,-1.5644059840169684,2.0485987505404406,-1.0556034862020989,0.6414760673412369,-2.0975463001744186,0.6779230494914994,[0.06323557 0.11021451 0.12284846 ... 0.08786413 0.01380105 0.06602706],97.64320330024202,97.78946481341181,97.3387538615773,98.37216274839845,0.07865884000000278,0.07926728964366703,0.07926611068069178,1259.6577507022953,10.765666666666732,10.59318181818179,10.59183333333334,10.423333333333346,10.374545454545455,10.29533333333336,10.389500000000055,10.26400000000001,8.699000000000001e-06,J00067-075,['M5.5 V']
2458316.6617,3.944327,1.865061,0.9599718873473172,2.0399737527087165,1.7121015988646988,0.8218446063155869,0.5273168284612957,0.8264625690371489,[0.07149729 0.05371929 0.06658138 ... 0.13724715 0.03062188 0.04831247],96.2930043081284,96.64237256493014,95.7037539127345,96.48916993725894,0.07751715000000559,0.07835326545136923,0.07833936109545903,1259.1788361483018,10.853727272727326,10.681363636363642,10.680090909090893,10.510090909090934,10.458399999999983,10.380100000000027,10.473090909090956,10.347363636363639,1.1117272727272727e-05,J00067-075,['M5.5 V']
2458327.6334,2.079384,0.955097,-1.690609069166861,1.3733012263887736,2.817840713179546,0.9601013338663442,1.312954784975474,0.9867856803743706,[0.07225896 0.06144026 0.0925264  ... 0.15987527 0.02889307 0.06461276],95.39491147984552,95.30090187586292,94.38402540889285,95.29892288034702,0.07659803000024112,0.07605914618761744,0.0760653615695901,1259.6915827392222,10.88145454545463,10.709750000000042,10.70700000000005,10.53818181818184,10.487363636363682,10.408833333333348,10.50225000000006,10.376000000000033,9.295545454545453e-06,J00067-075,['M5.5 V']
2458329.6058,3.41831,0.926718,1.505725778577845,1.1493950752737716,0.7384911763137479,0.7946837646272464,-0.5444540627692319,0.679928516492432,[0.08403891 0.08917965 0.10722927 ... 0.14992795 0.03478955 0.06571311],96.19257516310293,96.0883463426891,95.51006547678229,96.38585288528357,0.07728152999993654,0.07599911920146951,0.07599714660130985,1258.1217659753015,10.879999999999939,10.707416666666688,10.705727272727302,10.537000000000035,10.48500000000007,10.405916666666656,10.499916666666707,10.37336363636365,1.0430833333333334e-05,J00067-075,['M5.5 V']
2458333.5999,4.116773,1.098035,-0.1085400701545691,1.3589792195186057,3.01398631478232,0.7912818360720281,1.7682747859631824,0.8007144671219559,[0.09412139 0.07785338 0.08826726 ... 0.12067023 0.03162592 0.04742712],96.52983937736505,96.30715119342983,95.68928550315684,96.50166229658845,0.07713187000001653,0.07633121140634103,0.07633129783221193,1260.0378922865873,10.884916666666697,10.71272727272725,10.711666666666645,10.541583333333335,10.490454545454554,10.411454545454546,10.50541666666669,10.379250000000013,1.1121666666666664e-05,J00067-075,['M5.5 V']
