wlc,wll,posc,posm,posme,posmy,d,sd,k,order,flag
5177.04005943,5176.82736188,0.00000000,1592.00000000,nan,7.47919545,0.01998493,0.01998411,38603,118,1
5177.20576923,nan,0.00000000,1599.12886420,0.27499761,7.59431445,0.01998453,0.01998411,38601,118,1
5177.33877301,nan,0.00000000,1604.85514607,0.22524096,7.68661547,0.01998453,0.01998411,38600,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,7.80156077,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,7.84974820,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,7.89788926,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,7.92995708,nan,0.00000000,-2147483648,118,1
5177.78495508,5177.76647773,0.00000000,1624.09382744,0.16820150,7.99553040,0.01998418,0.01998411,38596,118,1
5177.78495508,5177.76647773,0.00000000,1624.09382744,0.16820150,7.99553040,0.01998418,0.01998411,38596,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,8.08997114,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,8.13786639,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,8.16976776,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,8.20164578,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,8.24941843,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,8.28123689,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,8.31303104,nan,0.00000000,-2147483648,118,1
5178.31969311,5178.30326832,0.00000000,1647.21007055,0.18933997,8.36401032,0.01998417,0.01998411,38592,118,1
5178.44963856,5178.43748335,0.00000000,1652.83729760,0.19364117,8.45322051,0.01998416,0.01998411,38591,118,1
5178.57996805,5178.57170535,0.00000000,1658.48502243,0.13020555,8.54255070,0.01998414,0.01998411,38590,118,1
