wlc,wll,posc,posm,posme,posmy,d,sd,k,order,flag
5177.01729010,5176.96086113,0.00000000,1591.00000000,nan,7.45691263,0.01998484,0.01998462,38603,118,1
5177.22309396,5177.22914064,0.00000000,1599.85361577,0.36789199,7.60050619,0.01998460,0.01998462,38601,118,1
5177.22309396,5177.22914064,0.00000000,1599.85361577,0.36789199,7.60050619,0.01998460,0.01998462,38601,118,1
5177.38382734,5177.36329082,0.00000000,1606.77489157,0.31576394,7.71248811,0.01998470,0.01998462,38600,118,1
5177.50584514,5177.49744795,0.00000000,1612.03291275,0.04763329,7.79739255,0.01998466,0.01998462,38599,118,1
5177.63315706,5177.63161204,1617.46004736,1617.52669016,0.07692345,7.88594387,0.01998463,0.01998462,38598,118,0
5177.76502190,5177.76578307,1623.24950817,1623.21665148,0.09343491,7.97747909,0.01998462,0.01998462,38597,118,0
nan,nan,0.00000000,-1.00000000,0.00000000,8.05428465,nan,0.00000000,-2147483648,118,1
5178.00954912,5177.89996106,0.00000000,1633.77408383,0.14834130,8.14681653,0.01998505,0.01998462,38596,118,1
5178.44506350,5178.43674255,0.00000000,1652.61827253,0.22815765,8.44734304,0.01998466,0.01998462,38592,118,1
5178.66225173,nan,0.00000000,1662.03188234,0.03469457,8.59658501,0.01998498,0.01998462,38591,118,1
5178.66225173,nan,0.00000000,1662.03188234,0.03469457,8.59658501,0.01998498,0.01998462,38591,118,1
5178.66225173,nan,0.00000000,1662.03188234,0.03469457,8.59658501,0.01998498,0.01998462,38591,118,1
5178.82903868,5178.83940170,0.00000000,1669.26826729,0.07881773,8.71088514,0.01998458,0.01998462,38589,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,8.80114824,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,8.83258661,nan,0.00000000,-2147483648,118,1
5179.11274591,5179.10787592,0.00000000,1681.59213982,0.09220269,8.90465664,0.01998464,0.01998462,38587,118,1
5179.24938857,5179.24212347,0.00000000,1687.53433212,0.02868450,8.99767349,0.01998465,0.01998462,38586,118,1
5179.24938857,5179.24212347,0.00000000,1687.53433212,0.02868450,8.99767349,0.01998465,0.01998462,38586,118,1
5179.51297370,5179.51063944,0.00000000,1699.00907723,0.26348722,9.17650177,0.01998463,0.01998462,38584,118,1
5179.64332291,5179.64490787,0.00000000,1704.68956803,0.15518956,9.26463105,0.01998462,0.01998462,38583,118,1
5179.80419509,5179.77918326,0.00000000,1711.70566840,0.03673596,9.37310622,0.01998472,0.01998462,38582,118,1
5179.92594680,5179.91346560,0.00000000,1717.01962320,0.09322487,9.45498268,0.01998467,0.01998462,38581,118,1
5180.04895108,5180.04775491,1722.34226167,1722.39452076,0.16205907,9.53754569,0.01998463,0.01998462,38580,118,0
5180.18350083,5180.18205119,1728.21174324,1728.27512445,0.21066916,9.62758042,0.01998463,0.01998462,38579,118,0
5180.31993564,5180.31635442,0.00000000,1734.23936896,0.19833513,9.71857332,0.01998464,0.01998462,38578,118,1
5180.45388865,5180.45066462,0.00000000,1740.10224808,0.28960270,9.80769720,0.01998464,0.01998462,38577,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,9.91213502,nan,0.00000000,-2147483648,118,1
5180.73140249,5180.71930592,0.00000000,1752.26199460,0.06521000,9.99149690,0.01998467,0.01998462,38575,118,1
5180.84967033,5180.85363701,0.00000000,1757.44964254,0.03961052,10.06947095,0.01998461,0.01998462,38574,118,1
5180.98468027,5180.98797507,0.00000000,1763.37571763,0.13571589,10.15821506,0.01998461,0.01998462,38573,118,1
5181.12329652,5181.12232010,1769.42536760,1769.46827096,0.13777334,10.24908036,0.01998463,0.01998463,38572,118,0
nan,nan,0.00000000,-1.00000000,0.00000000,10.33124951,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,10.43476803,nan,0.00000000,-2147483648,118,1
5181.52253237,5181.52539699,0.00000000,1787.02714187,0.19564184,10.50878880,0.01998461,0.01998463,38569,118,1
5181.66739925,5181.65976989,0.00000000,1793.40934329,0.03888522,10.60236723,0.01998466,0.01998463,38568,118,1
5181.79207316,5181.79414976,0.00000000,1798.90597485,0.21279683,10.68260217,0.01998462,0.01998463,38567,118,1
5181.92313995,5181.92853659,0.00000000,1804.68849968,0.18830209,10.76664655,0.01998461,0.01998463,38566,118,1
5182.05406329,5182.06293040,0.00000000,1810.46884248,0.05207119,10.85028120,0.01998459,0.01998463,38565,118,1
5182.20724697,5182.19733118,0.00000000,1817.23726629,0.17137433,10.94772481,0.01998466,0.01998463,38564,118,1
5182.34103658,5182.33173894,0.00000000,1823.15342663,0.16776044,11.03246168,0.01998466,0.01998463,38563,118,1
5182.47096206,5182.46615366,0.00000000,1828.90288838,0.26178961,11.11441498,0.01998464,0.01998463,38562,118,1
5182.60447763,5182.60057536,0.00000000,1834.81551172,0.20364342,11.19828157,0.01998464,0.01998463,38561,118,1
5182.60447763,5182.60057536,0.00000000,1834.81551172,0.20364342,11.19828157,0.01998464,0.01998463,38561,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,11.29961810,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,11.36976840,nan,0.00000000,-2147483648,118,1
5183.00691110,5183.00388229,0.00000000,1852.66336308,0.13663506,11.44885011,0.01998464,0.01998463,38558,118,1
5183.13609373,5183.13833189,0.00000000,1858.40103678,0.10181306,11.52855800,0.01998462,0.01998463,38557,118,1
5183.26949625,5183.27278846,0.00000000,1864.33046346,0.14439949,11.61048950,0.01998461,0.01998463,38556,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,11.68840659,nan,0.00000000,-2147483648,118,1
5183.54744244,5183.54172253,0.00000000,1876.69867740,0.15757120,11.77992766,0.01998465,0.01998463,38554,118,1
5183.67669002,5183.67620003,1882.43775165,1882.45958978,0.10277382,11.85816353,0.01998463,0.01998463,38553,118,0
5183.80441385,5183.81068451,0.00000000,1888.15063800,0.15731776,11.93501635,0.01998460,0.01998463,38552,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,12.02693248,nan,0.00000000,-2147483648,118,1
5184.07806104,5184.07967441,0.00000000,1900.36390066,0.13420963,12.09846807,0.01998462,0.01998463,38550,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,12.18642198,nan,0.00000000,-2147483648,118,1
5184.35752356,5184.34869222,0.00000000,1912.85611742,0.01732587,12.26352919,0.01998466,0.01998463,38548,118,1
5184.47801750,5184.48321160,0.00000000,1918.24837608,0.21245246,12.33410256,0.01998461,0.01998463,38547,118,1
5184.60992824,5184.61773796,0.00000000,1924.15576102,0.10533882,12.41094431,0.01998460,0.01998463,38546,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,12.48647288,nan,0.00000000,-2147483648,118,1
5184.90911719,5184.88681163,0.00000000,1937.57076419,0.22821114,12.58357960,0.01998471,0.01998463,38544,118,1
5184.90911719,5184.88681163,0.00000000,1937.57076419,0.22821114,12.58357960,0.01998471,0.01998463,38544,118,1
5185.02074600,5185.02135894,1942.61803621,1942.59051578,0.22930931,12.64750397,0.01998463,0.01998463,38543,118,0
