A,e_A
2302.676331225342892,0.016743497931276
30407.666232164992834,0.668844808791931
421.107709902658826,19.923572998836878
7798.073681338224560,271.823931908757686
2047.639974646270275,5337.926649706517310
-482.524331211599929,2.474860981453790
1943.830171429552138,221.960763288491677
-66095.813276708126068,17362.656872061215836
-70162.791833877563477,604247.539684390299954
-18501125.625000000000000,32501685.198701746761799
-8549.189648201689124,84.720597603469216
-123.767837226390839,1900.093676412274590
-15094.439192593097687,29115.576698772107193
84511.596205234527588,403325.385688187961932
-41824.319824099540710,7147.538956684908044
69128.308930397033691,164487.806919091526652
-241706.791542053222656,1742226.378726840019226
7581991.494903564453125,32521839.529091261327267
-3654532.067382812500000,503109.743594656523783
-1849438.664474487304688,5629262.949655167758465
-29877170.241699218750000,104517712.427393779158592
-3095705.380859375000000,18077795.067061066627502
-10244771.669921875000000,320446250.813639044761658
-521059588.875000000000000,932475992.638929009437561
