A,e_A
2296.239630200659121,0.016843750280055
30440.100824613436998,0.672447645373314
425.796777690120507,20.195410045388730
7874.234181609936059,272.245632481294763
2349.561431307345629,5402.761747809008739
-481.644872342316376,2.505357417184438
1914.737318684346974,224.606652757959267
-63118.524975419044495,17670.759328116419056
53662.352495193481445,615003.546917519182898
-17141657.550781250000000,33227253.700308348983526
-8557.267513265833259,86.154113911172004
-41.109633637592196,1948.984893289470619
-15248.680583715438843,29520.777141362352268
57348.042359828948975,414625.339999596122652
-41740.054773747920990,7261.664809809100916
71464.227409839630127,169936.812395812827162
-226196.049621582031250,1779877.153026825981215
5364001.587860107421875,33528629.850319784134626
-3630345.493957519531250,520483.684536890941672
-1954975.638046264648438,5760124.483173684217036
-27595698.522949218750000,108678987.126974076032639
-3101199.735351562500000,18476239.030955102294683
6868764.157226562500000,333736011.925524711608887
-615369401.375000000000000,967410467.793987274169922
