    0.316107471073663646E+02    0.895962927201479215E-01   -0.749763604012790523E+02   -0.159428861460854665E-01   -0.190241936716315369E-01   -0.321172781591485962E-01    0.114008642602076060E+01   -0.195803580919757136E+00    0.210423387818853421E-03    0.794266854495079666E+08   -0.621460743175560815E+01    1
    0.316107500666321961E+02    0.895963374339766860E-01   -0.749763758762918826E+02   -0.159400130496478026E-01   -0.190238822979065074E-01   -0.321195317208891259E-01    0.114008565383894989E+01   -0.195800137192923829E+00    0.213152709535007878E-03    0.794272063185670674E+08   -0.621660743175561681E+01    1
    0.316107667698241137E+02    0.895887736661624690E-01   -0.749763624646934943E+02   -0.159425680000216848E-01   -0.190161026053552937E-01   -0.321166016816472749E-01    0.114008390652874581E+01   -0.195797510956786547E+00    0.212249065750070204E-03    0.794272205417022407E+08   -0.621860743175561392E+01    1
    0.316107679892716291E+02    0.895891745020817171E-01   -0.749763699989722170E+02   -0.159363858164492112E-01   -0.190270215582335860E-01   -0.321227115105218800E-01    0.114008225791516815E+01   -0.195793931803536325E+00    0.213797859343955505E-03    0.794272335211824924E+08   -0.622060743175561814E+01    1
    0.316107666002348751E+02    0.895960232617162844E-01   -0.749763594338474206E+02   -0.159401014785927157E-01   -0.190170460954805984E-01   -0.321176219086354159E-01    0.114008597170975690E+01   -0.195797156618019663E+00    0.217900359665625012E-03    0.794274821829801053E+08   -0.622260743175562414E+01    1
    0.316107497159146860E+02    0.895855049261071040E-01   -0.749763738066930614E+02   -0.159493642325516209E-01   -0.190250845990446726E-01   -0.321170598873710411E-01    0.114009033466166687E+01   -0.195796313045909609E+00    0.207998585995543495E-03    0.794275459857980758E+08   -0.622460743175562925E+01    1
    0.316107494714227109E+02    0.895963233758018535E-01   -0.749763604464889681E+02   -0.159450877222859742E-01   -0.190271996680841174E-01   -0.321182891509684681E-01    0.114008822534433940E+01   -0.195800758237151346E+00    0.211383626686428248E-03    0.794276316571958661E+08   -0.622660743175562548E+01    1
    0.316107657968092219E+02    0.895930999653682530E-01   -0.749763559978603666E+02   -0.159399902113081006E-01   -0.190237017307646819E-01   -0.321216561178657573E-01    0.114008175652549459E+01   -0.195801691911888703E+00    0.206266782972029585E-03    0.794276665197462291E+08   -0.622860743175562526E+01    1
    0.316107676553119887E+02    0.895915446935814930E-01   -0.749763693507348563E+02   -0.159395938824202846E-01   -0.190259213608364973E-01   -0.321116559621356587E-01    0.114009011780730396E+01   -0.195802756142254286E+00    0.208311860241643684E-03    0.794276865022577345E+08   -0.623060743175562948E+01    1
    0.316107499258363340E+02    0.895933827852204434E-01   -0.749763668339734153E+02   -0.159433463718475152E-01   -0.190266104497443904E-01   -0.321205114867903624E-01    0.114008499675214203E+01   -0.195803083054522070E+00    0.215329699823833267E-03    0.794277054980456084E+08   -0.623260743175562393E+01    1
    0.316107665436119412E+02    0.895972678089108771E-01   -0.749763597005812130E+02   -0.159359299841248560E-01   -0.190259093453248110E-01   -0.321205454637345650E-01    0.114008093348424766E+01   -0.195806090556445378E+00    0.215733766480001799E-03    0.794277704986386746E+08   -0.623460743175563081E+01    1
    0.316107669106673619E+02    0.895952325045314552E-01   -0.749763630475569158E+02   -0.159399746366251406E-01   -0.190300101331067235E-01   -0.321205489702204861E-01    0.114008822269559285E+01   -0.195797233154881289E+00    0.214425984220051780E-03    0.794278202444058061E+08   -0.623660743175562082E+01    1
    0.316107517567409246E+02    0.895981855713911535E-01   -0.749763694247143491E+02   -0.159430504627392777E-01   -0.190267172915165178E-01   -0.321109805027217990E-01    0.114008594454196932E+01   -0.195805418964641931E+00    0.208835762365601843E-03    0.794278939801476598E+08   -0.623860743175562416E+01    1
