wlc,wll,posc,posm,posme,posmy,order,flag
5175.74952768,5175.76055339,0.00000000,1537.00000000,0.00000000,6.61827641,118,4
5182.11008546,5182.10933371,1813.26113790,1813.29435400,0.01566607,10.85197809,118,0
5182.32107826,5182.32049588,1822.59656334,1822.62232421,0.00872006,10.98510862,118,0
5186.01382612,5186.01505343,1987.72368731,1987.66825002,0.04902989,13.16544659,118,0
5186.15424395,5186.15775082,0.00000000,1994.00000000,0.00000000,13.24158674,118,4
5190.64686867,5190.64778331,2199.81261316,2199.77014380,0.03885122,15.34933117,118,0
5192.95911840,5192.95913527,2307.88350564,2307.88271128,0.04706089,16.13768362,118,0
5193.44830882,5193.44805687,2330.94219196,2330.95409166,0.04332495,16.27485868,118,0
5195.34324220,5195.34150094,0.00000000,2421.00000000,0.00000000,16.70156615,118,4
5199.44370464,5199.44224981,2619.67808859,2619.74957650,0.05714393,17.01061644,118,0
5202.91172466,5202.90437392,0.00000000,2792.27849743,0.08731690,16.56298797,118,0
5204.64240223,5204.63842920,0.00000000,2880.00000000,0.00000000,16.08640730,118,4
5206.60951638,5206.61196877,2981.21795074,2981.09097469,0.06301797,15.33952836,118,0
5207.45479522,5207.44655664,0.00000000,3025.00000000,0.00000000,14.95244727,118,4
5209.23536983,5209.23637960,3118.50895311,3118.45559538,0.03799990,14.01062206,118,0
5214.16657393,5214.18357616,0.00000000,1294.00000000,0.00000000,35.56475612,117,4
5216.63219485,5216.63177488,1396.12322543,1396.14072715,0.04589297,38.05655290,117,0
5218.38605688,5218.38634606,1469.53868830,1469.52653371,0.01309797,39.72314956,117,0
5220.00146509,5220.00089976,1537.67418429,1537.69813512,0.04524568,41.17825065,117,0
5227.94233380,5227.94224367,1881.22557808,1881.22956133,0.02735902,47.13688489,117,0
5231.74541525,5231.75142885,0.00000000,2051.10498047,0.00000000,49.23068869,117,2
nan,5232.45594910,0.00000000,-1.00000000,0.00000000,-12.68297926,117,4
5233.62690038,5233.62651274,2136.51447297,2136.53217107,0.01813785,50.06942385,117,0
5234.25969729,5234.25993874,2165.48876574,2165.47769959,0.00934624,50.32106217,117,0
