2457554.66721 -1232.33 80.5169 nan nan nan car-20160615T03h53m29s-sci-gtoc-vis.fits
2457556.66016 -1195.23 76.2734 nan nan nan car-20160617T03h39m42s-sci-gtoc-vis.fits
2457558.66709 -1712.58 89.7881 nan nan nan car-20160619T03h53m46s-sci-gtoc-vis.fits
2457574.67094 -358.686 96.3196 nan nan nan car-20160705T03h56m59s-sci-gtoc-vis.fits
2457596.61358 -1718.49 79.3675 nan nan nan car-20160727T02h34m23s-sci-gtoc-vis.fits
2457608.61756 3230.95 87.5771 nan nan nan car-20160808T02h36m54s-sci-gtoc-vis.fits
2457611.60406 -1396.46 107.836 nan nan nan car-20160811T02h19m46s-sci-gtoc-vis.fits
2457625.59989 -1465.6 97.4048 nan nan nan car-20160825T02h13m31s-sci-gtoc-vis.fits
2457634.43046 -1644.92 85.9402 nan nan nan car-20160902T22h09m17s-sci-gtoc-vis.fits
2457635.43642 -1629.42 91.3282 nan nan nan car-20160903T22h16m47s-sci-gtoc-vis.fits
2457636.44335 -1687.95 91.1014 nan nan nan car-20160904T22h27m55s-sci-gtoc-vis.fits
2457643.52081 -1638.93 89.6183 nan nan nan car-20160912T00h19m10s-sci-gtoc-vis.fits
2457644.50925 3129.42 99.4448 nan nan nan car-20160913T00h01m41s-sci-gtoc-vis.fits
2457645.52465 4971.86 98.8532 nan nan nan car-20160914T00h16m58s-sci-gtoc-vis.fits
2457650.48674 -1675.48 81.052 nan nan nan car-20160918T23h30m39s-sci-gtoc-vis.fits
2457654.51887 -1757.63 103.082 nan nan nan car-20160923T00h17m11s-sci-gtoc-vis.fits
2457657.43434 -1728.63 77.8 nan nan nan car-20160925T22h14m33s-sci-gtoc-vis.fits
2457673.38654 -1335.32 98.254 nan nan nan car-20161011T21h07m56s-sci-gtoc-vis.fits
2457678.36028 -1242.73 87.1051 nan nan nan car-20161016T20h28m51s-sci-gtoc-vis.fits
2457679.31586 -1287.54 94.7257 nan nan nan car-20161017T19h26m50s-sci-gtoc-vis.fits
2457684.36997 -1409.4 104.443 nan nan nan car-20161022T20h44m00s-sci-gtoc-vis.fits
2457685.33961 -1410.99 92.0705 nan nan nan car-20161023T20h00m26s-sci-gtoc-vis.fits
2457689.31103 -1493.58 76.9027 nan nan nan car-20161027T19h20m57s-sci-gtoc-vis.fits
2457694.31866 -1638.61 94.6085 nan nan nan car-20161101T19h32m22s-sci-gtoc-vis.fits
2457694.32205 -1620.6 91.6411 nan nan nan car-20161101T19h37m00s-sci-gtoc-vis.fits
2457698.37727 -1667.61 86.5282 nan nan nan car-20161105T20h56m05s-sci-gtoc-vis.fits
2457705.29998 -1632.67 86.2975 nan nan nan car-20161112T19h06m42s-sci-gtoc-vis.fits
2457711.27747 -1734.08 90.9704 nan nan nan car-20161118T18h34m25s-sci-gtoc-vis.fits
2457910.66075 -1528.82 86.4874 nan nan nan car-20170606T03h45m55s-sci-gtoc-vis.fits
2457918.65284 -1257.31 78.9261 nan nan nan car-20170614T03h33m02s-sci-gtoc-vis.fits
2457928.67127 -1394.99 71.8568 nan nan nan car-20170624T03h58m36s-sci-gtoc-vis.fits
2457935.67745 -1563.81 79.4445 nan nan nan car-20170701T04h06m16s-sci-gtoc-vis.fits
2457942.61342 -1675.48 97.3914 nan nan nan car-20170708T02h33m21s-sci-gtoc-vis.fits
2457949.64509 -1660.27 78.7048 nan nan nan car-20170715T03h18m02s-sci-gtoc-vis.fits
2457956.63912 -1774.29 84.448 nan nan nan car-20170722T03h08m45s-sci-gtoc-vis.fits
2457963.67269 -1748.83 85.5328 nan nan nan car-20170729T03h57m00s-sci-gtoc-vis.fits
2457970.6341 -1589.74 102.412 nan nan nan car-20170805T03h01m05s-sci-gtoc-vis.fits
2457977.58625 -1308.09 81.4065 nan nan nan car-20170812T01h52m01s-sci-gtoc-vis.fits
2457985.60237 -1355.01 90.2357 nan nan nan car-20170820T02h13m50s-sci-gtoc-vis.fits
2457997.54911 -1571.14 78.9923 nan nan nan car-20170901T00h57m51s-sci-gtoc-vis.fits
2458004.55774 -1568.29 90.0619 nan nan nan car-20170908T01h07m36s-sci-gtoc-vis.fits
2458023.41679 -1775.49 101.258 nan nan nan car-20170926T21h47m35s-sci-gtoc-vis.fits
2458047.38845 -1346.24 97.1289 nan nan nan car-20171020T21h10m12s-sci-gtoc-vis.fits
2458060.30012 -1621.32 81.6564 nan nan nan car-20171102T19h03m37s-sci-gtoc-vis.fits
2458080.32651 -1795.57 85.9388 nan nan nan car-20171122T19h45m01s-sci-gtoc-vis.fits
2458099.26875 -1371.56 100.017 nan nan nan car-20171211T18h23m01s-sci-gtoc-vis.fits
2458292.65661 -1411.69 80.8338 nan nan nan car-20180623T03h38m08s-sci-gtoc-vis.fits
2458300.63436 -1566.05 82.4461 nan nan nan car-20180701T03h04m12s-sci-gtoc-vis.fits
2458314.57743 -1681.43 96.9757 nan nan nan car-20180715T01h40m59s-sci-gtoc-vis.fits
2458333.63005 -1613.86 73.9852 nan nan nan car-20180803T02h55m17s-sci-gtoc-vis.fits
2458340.51868 -1409.76 87.6451 nan nan nan car-20180810T00h14m12s-sci-gtoc-vis.fits
2458347.63778 -1358.3 100.09 nan nan nan car-20180817T03h05m11s-sci-gtoc-vis.fits
2458355.52431 -1459.99 92.6927 nan nan nan car-20180825T00h22m13s-sci-gtoc-vis.fits
2458382.46246 -1806.11 89.6873 nan nan nan car-20180920T22h54m32s-sci-gtoc-vis.fits
2458393.42011 -1698.8 94.7438 nan nan nan car-20181001T21h52m37s-sci-gtoc-vis.fits
2458414.35686 -1398.88 89.4644 nan nan nan car-20181022T20h23m15s-sci-gtoc-vis.fits
2458471.28871 -1355.19 84.4276 nan nan nan car-20181218T18h53m23s-sci-gtoc-vis.fits
2458659.64195 -1456.46 80.4572 nan nan nan car-20190625T03h17m34s-sci-gtoc-vis.fits
2458669.61197 -1483.44 94.1115 nan nan nan car-20190705T02h32m04s-sci-gtoc-vis.fits
2458679.59023 -1693.08 80.4694 nan nan nan car-20190715T01h59m07s-sci-gtoc-vis.fits
2458691.55679 -1858.46 87.1658 nan nan nan car-20190727T01h09m43s-sci-gtoc-vis.fits
2458701.5281 -1483.63 89.345 nan nan nan car-20190806T00h28m05s-sci-gtoc-vis.fits
2458714.48236 -1376.7 96.2013 nan nan nan car-20190818T23h21m24s-sci-gtoc-vis.fits
