A,e_A
2301.509690333396975,0.016766341693539
30331.915928089936642,0.667133399360314
249.008346070797415,19.835793781073765
6970.222567823715508,269.280677592730740
-205.801246069371700,5277.174036352426810
-483.360237547261931,2.482856549320339
1924.418182400986552,222.520224788621306
-64202.766518712043762,17350.223457346961368
-34419.194637298583984,608208.915000986424275
-16401931.391357421875000,32471901.004508007317781
-8561.158104131929576,84.978934038221382
17.776946816593409,1910.015124513383626
-15819.390657126903534,29035.406077682637260
43083.939670562744141,403770.016684327216353
-41402.564982593059540,7104.944174709059553
80375.094534397125244,165452.466502513387240
-146598.700515747070312,1721166.498308554990217
3595243.069549560546875,32379945.874560330063105
-3636790.589805603027344,506525.279614662809763
-2031278.302108764648438,5572784.086609768681228
-25625660.320800781250000,104682245.254722297191620
-1015368.843017578125000,17918090.448096316307783
1489180.190429687500000,319202366.767589151859283
-509584353.921875000000000,933403148.963122606277466
