wlc,wll,posc,posm,posme,posmy,order,flag
5175.74883991,5175.76055339,0.00000000,1537.00000000,0.00000000,25.77540467,118,4
5182.11070626,5182.10933371,1813.28503927,1813.34568063,0.01344303,30.59389952,118,0
5182.32166801,5182.32049588,1822.60948183,1822.66132656,0.01331124,30.72600594,118,0
5186.01364240,5186.01505343,1987.73302820,1987.66929582,0.03424216,32.76071262,118,0
5186.15376250,5186.15775082,0.00000000,1994.00000000,0.00000000,32.82756175,118,4
5190.64758397,5190.64778331,2199.82119022,2199.81193440,0.03077178,34.57143973,118,0
5192.95918752,5192.95913527,2307.88283976,2307.88530031,0.01947284,35.16557515,118,0
5193.44842340,5193.44805687,2330.94203437,2330.95934692,0.02095998,35.26470121,118,0
5195.34298169,5195.34150094,0.00000000,2421.00000000,0.00000000,35.55987918,118,4
5199.44396435,5199.44224981,2619.69134737,2619.77560649,0.04180893,35.70473606,118,0
5202.91442578,5202.90437392,0.00000000,2792.41956895,0.06228801,35.27382274,118,0
5204.64233683,5204.63842920,0.00000000,2880.00000000,0.00000000,34.85793304,118,4
5206.60929798,5206.61196877,2981.21769191,2981.07941178,0.04961638,34.21141586,118,0
5207.45478643,5207.44655664,0.00000000,3025.00000000,0.00000000,33.87428672,118,4
5209.23706578,5209.23637960,3118.48009414,3118.51635188,0.02955514,33.04132793,118,0
5214.16575381,5214.18357616,0.00000000,1294.00000000,0.00000000,54.64596119,117,4
5216.63141041,5216.63177488,1396.13802311,1396.12283470,0.01119165,57.08447937,117,0
5218.38677381,5218.38634606,1469.55587499,1469.57385111,0.01797673,58.72210128,117,0
5220.00143974,5220.00089976,1537.69469746,1537.71757145,0.02096577,60.15349374,117,0
5227.94239697,5227.94224367,1881.24069393,1881.24746843,0.01879069,66.05760260,117,0
5231.74861591,5231.75142885,0.00000000,2051.27172852,0.00000000,68.15489523,117,2
5180.41657072,5232.45594910,0.00000000,-1.00000000,0.00000000,8.80873046,117,4
5233.62672190,5233.62651274,2136.52440850,2136.53395829,0.01646610,68.99787203,117,0
5234.26006828,5234.25993874,2165.50041505,2165.50635243,0.01600883,69.25239578,117,0
5235.61624276,5235.61642150,2227.93590179,2227.92764199,0.07742114,69.74557740,117,0
5240.81749884,5240.81717539,2472.18592268,2472.20136960,0.01909267,70.94742637,117,0
5241.46985580,5241.46900990,2503.38717426,2503.42775176,0.02124361,71.01714912,117,0
5243.24425277,5243.24415191,2589.01474724,2589.01964098,0.01958757,71.11047356,117,0
5243.77845818,5243.77132820,0.00000000,2615.00000000,0.00000000,71.11043501,117,4
5246.14074240,5246.14447602,0.00000000,2731.00000000,0.00000000,70.94901358,117,5
5249.10184912,5249.10399466,0.00000000,2879.17504883,0.00000000,70.35966104,117,2
5249.48824681,5249.48780406,2898.71937424,2898.74182962,0.02274290,70.24973859,117,0
5252.20417651,5252.20350117,3037.88333554,3037.91830877,0.04314086,69.25225205,117,0
5252.67620811,5252.67669865,3062.43486250,3062.40936224,0.02713365,69.03766964,117,0
5255.33182065,5255.33154202,3201.87681094,3201.89160265,0.05667878,67.59353839,117,0
5256.73432487,5256.73420351,3276.76745959,3276.77397656,0.06413406,66.66296360,117,0
5257.15378637,5257.15363591,3299.33259858,3299.34070753,0.04377427,66.36133637,117,0
5258.50637370,5258.50801425,0.00000000,3372.69409180,0.00000000,65.31333311,117,2
5260.16887911,5260.18264452,0.00000000,3464.00000000,0.00000000,63.86506895,117,4
5261.35552602,5261.36791758,0.00000000,3530.00000000,0.00000000,62.71946285,117,4
5249.47811536,5249.48780406,0.00000000,909.00000000,0.00000000,79.34054509,116,4
5252.19829852,5252.20350117,0.00000000,1016.00000000,0.00000000,82.67050165,116,4
5252.67626179,5252.67669865,1034.95626640,1034.93894438,0.02582535,83.23852347,116,0
5255.33088846,5255.33154202,1140.83828465,1140.81205780,0.04839620,86.29447003,116,0
5256.73591479,5256.73420351,1197.31427938,1197.38338868,0.08865023,87.84379293,116,0
5257.15345404,5257.15363591,1214.25449661,1214.24713682,0.04038147,88.29431472,116,0
5258.50892911,5258.50801425,1269.23326877,1269.27052150,0.03169648,89.72796410,116,0
5260.17992606,5260.18264452,1337.70094006,1337.58937070,0.04170813,91.43032798,116,0
5261.36837225,5261.36791758,1386.47537367,1386.49414180,0.02441040,92.59581103,116,0
5265.32960844,5265.33100601,1551.64731682,1551.58849910,0.03823990,96.20046063,116,0
5266.21937523,5266.21892710,1589.10427755,1589.12322304,0.01450630,96.94854953,116,0
5266.71228338,5266.71303273,0.00000000,1609.99621582,0.00000000,97.35305078,116,2
5266.84297278,5266.84038732,1615.43241109,1615.54207008,0.20265314,97.45913972,116,0
5268.87086753,5268.87801204,0.00000000,1702.00000000,0.00000000,99.03765655,116,4
5269.60912809,5269.60471623,0.00000000,1733.70460480,0.03801802,99.58092313,116,0
5270.01856922,5270.01799965,1751.31020824,1751.33476809,0.01252488,99.87473779,116,0
5272.09579707,5272.09532822,1841.38954042,1841.40998326,0.01558388,101.28327065,116,0
5273.47293778,5273.47272601,1901.67980540,1901.68911180,0.02758774,102.13911804,116,0
5274.71062301,5274.70935759,1956.20261773,1956.25859742,0.02940677,102.85372296,116,0
5276.14556334,5276.14631750,0.00000000,2020.00000000,0.00000000,103.61585206,116,4
5276.66257887,5276.66080874,2043.01967853,2043.09886183,0.03024733,103.87269468,116,0
5277.39494163,5277.39483989,2075.90091235,2075.90548306,0.01653726,104.21977250,116,0
5281.84982901,5281.84889931,2278.66084994,2278.70373647,0.01998240,105.90280671,116,0
5282.00825488,5282.00779310,2285.99425290,2286.01557604,0.04977847,105.94858865,116,0
5284.84125361,5284.84255909,0.00000000,2418.00000000,0.00000000,106.59631394,116,4
5285.04917112,5285.04919660,2427.77521492,2427.77401558,0.02836399,106.63080692,116,0
5288.40181159,5288.40146979,2587.28944384,2587.30588601,0.02216163,106.93094838,116,0
5295.50465350,5295.50464489,2937.61411485,2937.61455050,0.02695440,105.85284942,116,0
5298.91992753,5298.92023834,3112.67083270,3112.65469583,0.03582559,104.42269767,116,0
5300.91455444,5300.91520383,3217.09343082,3217.05916353,0.03352124,103.28847037,116,0
5302.04455313,5302.04448804,3276.95358831,3276.95705505,0.06393251,102.54331788,116,0
5304.57072164,5304.56851400,3412.84017526,3412.96029784,0.05497386,100.59693009,116,0
5306.05034508,5306.04644960,0.00000000,3494.00000000,0.00000000,99.26999084,116,5
5308.06445243,5308.06476298,3606.01543811,3605.99800327,0.04834624,97.23204515,116,0
5310.02273306,5310.01852329,0.00000000,3717.00000000,0.00000000,94.98015910,116,4
5311.49845764,5311.51803819,0.00000000,3802.00000000,0.00000000,93.10079043,116,4
5295.50454537,5295.50464489,923.61455025,923.61068345,0.04176802,115.93277484,115,0
5298.92032535,5298.92023834,1057.26764149,1057.27107129,0.01489953,120.01467098,115,0
5300.91469004,5300.91520383,1136.24161911,1136.22118587,0.06801953,122.27914398,115,0
5302.04466479,5302.04448804,1181.26965237,1181.27671661,0.01726418,123.52198177,115,0
5304.57145525,5304.56851400,1282.76000459,1282.87895103,0.02625012,126.19128365,115,0
5306.05303911,5306.04644960,0.00000000,1343.00000000,0.00000000,127.68295559,115,4
5308.06430973,5308.06476298,1425.31467230,1425.29603755,0.02799543,129.61784035,115,0
5310.01924971,5310.01852329,1506.02980219,1506.05996471,0.01784206,131.39545274,115,0
5311.51864616,5311.51803819,1568.50325626,1568.52868389,0.01801888,132.68733224,115,0
5316.75764195,5316.75723042,1790.57710717,1790.59479124,0.01133555,136.68633711,115,0
5320.87195628,5320.87484411,1969.49582897,1969.36893060,0.01974753,139.22426017,115,0
5321.93012441,5321.92339252,0.00000000,2016.00000000,0.00000000,139.78528293,115,4
5325.51007473,5325.51151738,0.00000000,2175.88452148,0.00000000,141.38959998,115,2
5325.61124150,5325.60744890,0.00000000,2180.45136164,0.15606536,141.42814152,115,0
5326.98477766,5326.98526162,2242.75295454,2242.73092314,0.03206269,141.91326715,115,0
5328.79790892,5328.79833251,2325.74905310,2325.72955392,0.05155745,142.44238659,115,0
5333.06268893,5333.06166288,2524.66000051,2524.70852313,0.04270774,143.16347151,115,0
5334.57933617,5334.57926837,2596.78464192,2596.78788012,0.04875367,143.23388395,115,0
5338.02576451,5338.02595217,2763.37547362,2763.36629581,0.01097604,143.00865499,115,0
5339.74217376,5339.74118923,2847.78372608,2847.83247784,0.05525384,142.68791765,115,0
5342.99270728,5342.99259087,3010.67587428,3010.68177756,0.04543750,141.67888469,115,0
5348.12983725,5348.12865133,3276.40704046,3276.46966304,0.03628283,138.93583998,115,0
5350.47326309,5350.46609996,0.00000000,3401.43314912,0.08698543,137.18181138,115,0
5351.50161669,5351.49903703,0.00000000,3457.06054688,0.00000000,136.30660404,115,2
5351.61087619,5351.61373969,0.00000000,3463.00000000,0.00000000,136.20973966,115,4
5355.84784077,5355.84832753,3697.86012465,3697.83261347,0.05943121,131.85704228,115,0
5357.06752575,5357.06692718,3767.14647207,3767.18069827,0.10719753,130.37886908,115,0
5358.06293206,5358.06313395,3824.37905119,3824.36739661,0.08118060,129.09478304,115,0
5359.80697247,5359.80808404,0.00000000,3926.00000000,0.00000000,126.66893989,115,4
5338.02584954,5338.02595217,773.38224762,773.37835893,0.01246811,147.44636734,114,0
5339.72503645,5339.74118923,0.00000000,838.00000000,0.00000000,149.69501312,114,4
5342.97889040,5342.99259087,0.00000000,963.00000000,0.00000000,153.81456672,114,4
5348.12949412,5348.12865133,1164.42954724,1164.46289061,0.04040264,159.81727499,114,0
5350.47459567,5350.46609996,0.00000000,1257.73487443,0.03201391,162.33088922,114,0
5351.50213399,5351.49903703,0.00000000,1298.91711426,0.00000000,163.38735018,114,2
5351.60374073,5351.61373969,0.00000000,1303.00000000,0.00000000,163.49030968,114,4
5355.84806561,5355.84832753,1475.30713651,1475.29639509,0.01284949,167.54278071,114,0
5357.06845881,5357.06692718,1525.43965668,1525.50283311,0.04761568,168.61628925,114,0
5358.06273833,5358.06313395,1566.63394980,1566.61754685,0.01788345,169.45935640,114,0
5359.80852639,5359.80808404,1639.29223907,1639.31073996,0.01304271,170.87058331,114,0
5366.20405747,5366.20445883,1911.30188071,1911.28451727,0.01556548,175.25254607,114,0
5369.85961941,5369.86586386,0.00000000,2071.00000000,0.00000000,177.16638541,114,4
5372.41337289,5372.40958822,0.00000000,2184.55455004,0.01581787,178.23068990,114,0
5372.84383093,5372.84469663,2203.89988412,2203.86099509,0.02065023,178.38715490,114,0
5376.99661155,5376.99673162,2392.71084253,2392.70531200,0.03032586,179.54252233,114,0
5377.25672235,5377.25635320,2404.67938227,2404.69641375,0.02802324,179.59291068,114,0
5378.64905219,5378.65184259,0.00000000,2469.21093750,0.00000000,179.81693304,114,2
5379.60204708,5379.60803421,0.00000000,2513.69628906,0.00000000,179.92515898,114,2
5383.37201060,5383.37707201,0.00000000,2692.41845703,0.00000000,179.97950245,114,2
5383.48823103,5383.51679099,0.00000000,2698.00000000,0.00000000,179.97138825,114,4
5384.42720713,5384.42716411,2743.25181336,2743.25389385,0.02145437,179.88365645,114,0
5385.71892594,5385.71542025,0.00000000,2806.00000000,0.00000000,179.69736786,114,4
5387.02805691,5387.01545647,0.00000000,2870.17255589,0.02303382,179.42913476,114,0
5391.34151875,5391.34609672,0.00000000,3086.00000000,0.00000000,177.95014685,114,4
5392.59209892,5392.59022024,3149.80523141,3149.90168991,0.06505651,177.34151714,114,0
5395.64176130,5395.64128962,3308.36065259,3308.38547040,0.03597796,175.49506446,114,0
5396.23319883,5396.23499529,3339.69083032,3339.59584206,0.06263068,175.07479425,114,0
5397.04180043,5397.04184288,3382.47951393,3382.47725379,0.03524302,174.46694417,114,0
5400.34068346,5400.34017685,3560.57351531,3560.60125464,0.07485067,171.56474781,114,0
5401.03424261,5401.03330291,3598.65555618,3598.70736065,0.06606943,170.86483786,114,0
5402.39110742,5402.40725651,0.00000000,3674.00000000,0.00000000,169.39990356,114,4
5403.39592321,5403.39363066,3730.21575167,3730.34492109,0.06860856,168.23233361,114,0
5407.86963693,5407.88513973,0.00000000,3988.00000000,0.00000000,162.11410609,114,4
5408.37765127,5408.37257039,0.00000000,4018.00000000,0.00000000,161.31847019,114,4
5383.36039380,5383.37707201,0.00000000,702.00000000,0.00000000,182.07126817,113,4
5383.49446883,5383.51679099,0.00000000,707.00000000,0.00000000,182.25475434,113,4
5384.42724492,5384.42716411,741.84781615,741.85084112,0.02082236,183.52049379,113,0
5385.70968469,5385.71542025,0.00000000,790.00000000,0.00000000,185.23124994,113,4
5387.02866452,5387.01545647,0.00000000,839.77370896,0.01066570,186.95341492,113,0
5391.33021253,5391.34609672,0.00000000,1004.00000000,0.00000000,192.30149712,113,4
5392.59115830,5392.59022024,1052.68148920,1052.71782427,0.03418181,193.78932276,113,0
5395.64147221,5395.64128962,1171.63990444,1171.64707166,0.01878228,197.23158655,113,0
5396.23212444,5396.23499529,1194.98514226,1194.87214620,0.02401902,197.87236840,113,0
5397.04248142,5397.04184288,1226.78823787,1226.81346622,0.02411613,198.73684652,113,0
5400.34111330,5400.34017685,1358.07276598,1358.11031712,0.02917948,202.08609889,113,0
5401.03397654,5401.03330291,1385.91413184,1385.94123747,0.06200835,202.75382045,113,0
5403.38329197,5403.39363066,0.00000000,1481.00000000,0.00000000,204.92306691,113,4
5407.88481085,5407.88513973,1666.19368670,1666.18000555,0.04519164,208.65369564,113,0
5408.37294717,5408.37257039,1686.49638281,1686.51209714,0.01509365,209.02341315,113,0
5411.73887238,5411.73846580,1828.09674843,1828.11400179,0.01792572,211.37925977,113,0
5416.26224409,5416.26351912,2022.48259157,2022.42715988,0.01617821,213.98824227,113,0
5423.49775405,5423.49720742,2343.69628145,2343.72107236,0.05118603,216.71748188,113,0
5428.18505105,5428.18728949,2559.57742963,2559.47285851,0.03248029,217.44085621,113,0
5430.55753652,5430.55552228,2671.07588660,2671.17146507,0.03353795,217.46494554,113,0
5431.74598976,5431.74594982,2727.78012657,2727.78203740,0.04424431,217.38583867,113,0
5432.85771540,5432.85736280,2781.14855038,2781.16554481,0.03861475,217.25495580,113,0
5440.13142748,5440.13595848,0.00000000,3141.08569336,0.00000000,214.94612013,113,2
5440.59861052,5440.59868824,3164.87981050,3164.87584547,0.07192944,214.70595357,113,0
5445.44529443,5445.44492862,3416.98504911,3417.00446236,0.07141661,211.49319752,113,0
5445.82033913,5445.81995965,3436.91843057,3436.93863195,0.06719182,211.18714528,113,0
5447.38105087,5447.38020670,3520.54079785,3520.58634477,0.04123682,209.81973996,113,0
5448.55017415,5448.56553490,0.00000000,3584.00000000,0.00000000,208.69360502,113,4
5452.22952132,5452.22020258,0.00000000,3788.00000000,0.00000000,204.54728382,113,4
5453.91069619,5453.90941359,3883.48566787,3883.55919384,0.07334185,202.33028511,113,0
5428.18837304,5428.18728949,582.91257954,582.95213425,0.03485006,215.33749186,112,0
5430.55777475,5430.55552228,669.75460589,669.83757902,0.03397931,218.65136736,112,0
5431.74545500,5431.74594982,713.69864662,713.68033155,0.01236748,220.27005535,112,0
5432.85743969,5432.85736280,754.91573848,754.91859613,0.02797772,221.75977772,112,0
5440.13493204,5440.13595848,1029.54327596,1029.50396376,0.03654411,230.86570130,112,0
5440.60083192,5440.59868824,1047.27906975,1047.36134081,0.02526545,231.40877954,112,0
5445.44145198,5445.44492862,0.00000000,1235.10009766,0.00000000,236.75396180,112,2
5445.82111194,5445.81995965,1249.94462970,1249.98987821,0.03995219,237.14937364,112,0
5447.38157620,5447.38020670,1311.43129322,1311.48545624,0.01950440,238.73796513,112,0
5448.55458725,5448.56553490,0.00000000,1358.00000000,0.00000000,239.89194838,112,4
5452.19544789,5452.22020258,0.00000000,1504.00000000,0.00000000,243.24733893,112,4
5453.91006627,5453.90941359,1573.60644781,1573.63306879,0.02269873,244.70496348,112,0
5460.37862975,5460.38091559,1841.87642195,1841.78008869,0.07306585,249.45539921,112,0
5460.76975560,5460.76844414,1858.21508187,1858.27046028,0.02507897,249.70277069,112,0
5461.08343291,5461.08502290,1871.59456882,1871.52731326,0.02547064,249.89787104,112,0
5465.74290757,5465.74241900,2071.08702556,2071.10822131,0.03712297,252.42924644,112,0
5477.22588094,5477.22693531,0.00000000,2586.47827148,0.00000000,255.44051254,112,2
5478.29033863,5478.29074174,2636.14157246,2636.12270605,0.02832338,255.46200120,112,0
5478.70543017,5478.70531736,2655.57285156,2655.57814643,0.04814961,255.45754994,112,0
5479.37016990,5479.37045083,2686.86373490,2686.85048923,0.04880502,255.43520635,112,0
5481.78055822,5481.78470722,0.00000000,2801.42707925,0.05457270,255.19337247,112,0
5481.93545401,5481.93615548,2808.88676189,2808.85310517,0.05121362,255.16902723,112,0
5482.61834390,5482.62061971,0.00000000,2841.69287109,0.00000000,255.04871334,112,2
5482.72891755,5482.72745902,2846.95912721,2847.02948548,0.13137926,255.02721243,112,0
5484.11480823,5484.12176815,0.00000000,2914.20727539,0.00000000,254.70995604,112,2
5488.52213131,5488.52701508,0.00000000,3132.40258789,0.00000000,253.08421420,112,2
5490.40798905,5490.40823681,3228.01906873,3228.00641575,0.06314416,252.08536888,112,0
5494.47712358,5494.47758542,3439.27904291,3439.25466188,0.04826773,249.26034156,112,0
5496.11787479,5496.11807809,3526.49580579,3526.48492256,0.05308927,247.84601232,112,0
5496.82624937,5496.82613547,3564.50826511,3564.51439810,0.05622648,247.18414813,112,0
5497.95467701,5497.95431036,3625.58091415,3625.60085829,0.04751014,246.06352512,112,0
5499.27150433,5499.27141885,3697.68525980,3697.68996738,0.06128941,244.65001141,112,0
5502.21270838,5502.21300922,3861.91705007,3861.90002170,0.06236319,241.06286687,112,0
5503.34400792,5503.34415180,3926.31884285,3926.31060554,0.06475515,239.51669540,112,0
5503.71344162,5503.71410532,3947.53764416,3947.49950383,0.05786704,238.99095003,112,0
5505.63411431,5505.65860524,0.00000000,4059.00000000,0.00000000,236.08502272,112,5
5477.22516130,5477.22693531,587.72496352,587.66074013,0.04713661,254.91976093,111,0
5478.29091792,5478.29074174,626.31169118,626.31809567,0.04632473,256.32009181,111,0
5478.70703190,5478.70531736,641.39507229,641.45750166,0.05399971,256.86214367,111,0
5479.36595601,5479.37045083,0.00000000,665.47906494,0.00000000,257.71483302,111,2
5481.78076215,5481.78470722,0.00000000,754.03655836,0.11146355,260.77956935,111,0
5481.93671044,5481.93615548,759.75360721,759.77406541,0.09060474,260.97382624,111,0
5482.61483046,5482.62061971,0.00000000,784.81970215,0.00000000,261.81563413,111,2
5482.72958247,5482.72745902,788.98817483,789.06671012,0.13087693,261.95738245,111,0
5484.10304163,5484.12176815,0.00000000,840.00000000,0.00000000,263.63469941,111,4
5488.52284929,5488.52701508,0.00000000,1005.85968018,0.00000000,268.80385758,111,1
5490.40838394,5490.40823681,1077.55190265,1077.55751841,0.01983058,270.89767640,111,0
5494.47768272,5494.47758542,1234.25576163,1234.25954302,0.01779981,275.17281201,111,0
5496.11912956,5496.11807809,1298.23673345,1298.27789521,0.05099008,276.79897361,111,0
5496.82610159,5496.82613547,1325.99865464,1325.99732443,0.02411711,277.48120060,111,0
5497.95512311,5497.95431036,1370.41044312,1370.44252056,0.01342076,278.54732380,111,0
5499.27100318,5499.27141885,1422.55842159,1422.54191505,0.01760446,279.75331401,111,0
5502.21323902,5502.21300922,1540.18530368,1540.19455517,0.02096889,282.30167259,111,0
5503.34379436,5503.34415180,1585.85835902,1585.84388663,0.02693281,283.22459507,111,0
5503.71323592,5503.71410532,1600.85002874,1600.81476757,0.02635381,283.51920606,111,0
5505.65527030,5505.65860524,1680.11250549,1679.97593031,0.03805105,285.01048546,111,0
5511.65142403,5511.65152301,1929.32428166,1929.32010106,0.02859764,288.96861192,111,0
5511.94685189,5511.94692785,1941.81034131,1941.80712809,0.03595836,289.13703433,111,0
5516.65276579,5516.64885387,0.00000000,2143.45537154,0.02552028,291.45841132,111,0
5518.68733706,5518.69234677,0.00000000,2232.29394531,0.00000000,292.24128343,111,2
5520.67795198,5520.67697055,2320.19071841,2320.23433098,0.02025398,292.87055105,111,0
5521.34360502,5521.34162459,2349.78648169,2349.87483391,0.05600414,293.04984989,111,0
5522.56083059,5522.56077830,2404.36932900,2404.37167912,0.01220280,293.33621720,111,0
5526.96888487,5526.96858748,2605.19720823,2605.21094475,0.03809848,293.90501888,111,0
5529.35219814,5529.35388998,2716.26770190,2716.18830715,0.20442121,293.88911604,111,0
5529.51650527,5529.51760729,2723.94625911,2723.89447672,0.04572468,293.87924560,111,0
5532.23438885,5532.23406046,2852.75668075,2852.77239927,0.05366485,293.54495320,111,0
5532.80399886,5532.80074799,0.00000000,2880.07929416,0.07456760,293.43305001,111,0
5534.62818131,5534.62798047,2968.28755506,2968.29732934,0.02651068,292.97315295,111,0
5536.25570886,5536.25570783,3047.98413429,3047.98418506,0.04846944,292.42835823,111,0
5538.90944372,5538.90077531,0.00000000,3180.00000000,0.00000000,291.25499887,111,4
5545.95405080,5545.95555637,3544.23055479,3544.15042692,0.09118234,286.26337050,111,0
5546.08097106,5546.08208911,3550.96100682,3550.90146469,0.07537337,286.14648417,111,0
5546.38264650,5546.39447763,0.00000000,3567.00000000,0.00000000,285.86418068,111,4
5554.26245595,5554.26174610,4003.44534545,4003.48616382,0.06038516,276.29261945,111,0
5555.23024483,5555.22847685,4059.35498246,4059.45769935,0.06345044,274.79849326,111,0
5521.34355060,5521.34162459,0.00000000,386.00000000,0.00000000,284.66372628,110,4
5522.53598327,5522.56077830,0.00000000,428.00000000,0.00000000,286.41923085,110,4
5524.20241374,5524.23537169,0.00000000,487.00000000,0.00000000,288.83348035,110,4
5526.94799886,5526.96858748,0.00000000,585.00000000,0.00000000,292.70890255,110,4
5528.96133902,5529.35388998,0.00000000,657.50682261,122.14084946,295.46716635,110,0
5529.51704684,5529.51760729,677.63383448,677.61353489,0.01953388,296.21553506,110,0
5532.23497442,5532.23406046,776.55807863,776.59154036,0.02095981,299.79432297,110,0
5532.80454287,5532.80074799,797.34313494,797.48238495,0.01520608,300.52725064,110,0
5534.61088323,5534.62798047,0.00000000,864.00000000,0.00000000,302.80858343,110,4
5536.25576847,5536.25570783,924.99562947,924.99788617,0.02774456,304.83029877,110,0
5538.90229021,5538.90077531,0.00000000,1024.00000000,0.00000000,307.96761628,110,4
5545.95293436,5545.95555637,0.00000000,1293.23632812,0.00000000,315.58918679,110,2
5546.07402832,5546.08208911,0.00000000,1297.93322754,0.00000000,315.71023874,110,1
5546.38482959,5546.39447763,0.00000000,1310.00000000,0.00000000,316.01934976,110,4
5554.26301320,5554.26174610,1621.64185800,1621.69293054,0.03427902,323.05935165,110,0
5555.23566205,5555.22847685,0.00000000,1661.00000000,0.00000000,323.81728405,110,4
5559.42501507,5559.42473093,1832.43486477,1832.44661620,0.01208245,326.78066028,110,0
5561.41444037,5561.42085532,0.00000000,1915.16015625,0.00000000,328.01040209,110,3
5565.21840165,5565.21051817,0.00000000,2075.75561523,0.00000000,330.02503064,110,3
5565.34069917,5565.34490809,0.00000000,2080.97387695,0.00000000,330.08221665,110,2
5565.71654913,5565.71653638,2097.01841624,2097.01896145,0.04369992,330.25478487,110,0
5510.14570622,5567.34649914,0.00000000,-1.00000000,0.00000000,267.11857076,110,4
5570.03452297,5570.03456920,2283.98265229,2283.98062599,0.04997053,331.90176025,110,0
5510.14570622,5572.21078105,0.00000000,-1.00000000,0.00000000,267.11857076,110,4
5573.63771222,5573.62687746,0.00000000,2443.61136420,0.04122051,332.77688721,110,0
5574.62148297,5574.62185395,2487.81927465,2487.80255446,0.04520569,332.93261872,110,0
5575.13954060,5575.13953099,2511.18774190,2511.18817629,0.03296745,332.99984608,110,0
5576.20456667,5576.20858381,0.00000000,2559.47942075,0.02253977,333.10541383,110,0
5578.58280492,5578.57901398,0.00000000,2668.51929910,0.06309701,333.17899406,110,0
5579.00387510,5579.00540235,0.00000000,2688.00000000,0.00000000,333.16809926,110,4
5579.92920816,5579.92442117,0.00000000,2731.00000000,0.00000000,333.11826646,110,4
5582.35297560,5582.35472041,2844.98761080,2844.90493965,0.05769794,332.81485982,110,0
5582.76993208,5582.77396939,0.00000000,2864.68457031,0.00000000,332.73683537,110,3
5583.13387746,5583.14514002,0.00000000,2882.00000000,0.00000000,332.66238169,110,4
5583.58859327,5583.58940339,2903.74350564,2903.70479860,0.04895396,332.56094865,110,0
5586.17309032,5586.17277338,3028.32543004,3028.34085844,0.03694103,331.80411909,110,0
5592.65509413,5592.65516147,3351.67346644,3351.67002251,0.05899721,328.46180403,110,0
5593.26660658,5593.26638492,3383.01468773,3383.02608357,0.06948338,328.03233300,110,0
5596.69451488,5596.69709691,3561.90590498,3561.76931231,0.06111606,325.23100432,110,0
5597.83942908,5597.83913872,3622.60459826,3622.62010746,0.06042922,324.14080891,110,0
5604.61270510,5604.61149760,3995.97118928,3996.03994308,0.09067770,315.94927431,110,0
5570.01581077,5570.03456920,0.00000000,317.00000000,0.00000000,321.01817741,109,4
5572.20836307,5572.21078105,393.23125994,393.14696441,0.02700817,324.33202120,109,0
5573.60635696,5573.62687746,0.00000000,442.00000000,0.00000000,326.40071908,109,4
5574.62266430,5574.62185395,477.64509644,477.67359771,0.05504165,327.88299696,109,0
5575.13962761,5575.13953099,495.86928079,495.87268541,0.02832834,328.62997350,109,0
5576.20496779,5576.20858381,533.60925479,533.48135894,0.01655435,330.15387534,109,0
5578.58415537,5578.57901398,0.00000000,617.99809327,0.05284375,333.48138333,109,0
5579.00424659,5579.00540235,0.00000000,633.00000000,0.00000000,334.05797048,109,4
5579.89811214,5579.92442117,0.00000000,665.00000000,0.00000000,335.27370302,109,4
5582.35056365,5582.35472041,0.00000000,753.35809326,0.00000000,338.53038141,109,3
5582.77351865,5582.77396939,768.68762070,768.67127860,0.02332297,339.07982766,109,0
5583.14059530,5583.14514002,0.00000000,782.00000000,0.00000000,339.55447068,109,4
5583.59055762,5583.58940339,798.30024315,798.34222480,0.02163529,340.13185374,109,0
5586.17273330,5586.17277338,892.74672457,892.74525152,0.03140705,343.36856203,109,0
