2457646.39498 nan nan car-20160914T21h19m46s-sci-gtoc-vis.fits 64
2457661.05982 nan nan car-20160929T13h16m26s-tst-vis.fits 64
2457685.32504 nan nan car-20161023T19h39m41s-sci-gtoc-vis.fits 64
2457692.4414 nan nan car-20161030T22h28m37s-sci-gtoc-vis.fits 64
2457692.44279 nan nan car-20161030T22h31m02s-sci-gtoc-vis.fits 64
2458049.42613 nan nan car-20171022T22h06m19s-sci-gtoc-vis.fits 64
2458056.5203 nan nan car-20171030T00h21m52s-sci-gtoc-vis.fits 64
2458056.52251 nan nan car-20171030T00h25m29s-sci-gtoc-vis.fits 64
2458074.42016 nan nan car-20171116T21h56m50s-sci-gtoc-vis.fits 256
2458297.58634 nan nan car-20180628T01h59m04s-sci-gtoc-vis.fits 64
2458307.52288 nan nan car-20180708T00h27m28s-sci-gtoc-vis.fits 64
2458454.30074 nan nan car-20181201T19h10m07s-sci-gtoc-vis.fits 64
2458746.53908 nan nan car-20190920T00h47m16s-sci-gtoc-vis.fits 64
