wlc,wll,posc,posm,posme,posmy,d,sd,k,order,flag
5177.22685383,5177.22707455,1600.30425562,1600.29475534,0.14808587,7.59349105,0.01998461,0.01998461,38601,118,0
5177.22685383,5177.22707455,1600.30425562,1600.29475534,0.14808587,7.59349105,0.01998461,0.01998461,38601,118,0
nan,nan,0.00000000,-1.00000000,0.00000000,7.70029690,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,7.73212283,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,7.76393373,nan,0.00000000,-2147483648,118,1
5177.66238475,5177.49540672,0.00000000,1619.05695668,0.04551052,7.89192491,0.01998526,0.01998461,38599,118,1
5177.66238475,5177.49540672,0.00000000,1619.05695668,0.04551052,7.89192491,0.01998526,0.01998461,38599,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,7.97031735,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,8.01784352,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,8.04950549,nan,0.00000000,-2147483648,118,1
5178.02020658,5178.03215448,0.00000000,1634.50844049,0.22611223,8.13661520,0.01998457,0.01998462,38595,118,1
5178.18002339,5178.16635881,0.00000000,1641.41901047,0.15050591,8.24569453,0.01998467,0.01998462,38594,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,8.33361411,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,8.36508192,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,8.41224405,nan,0.00000000,-2147483648,118,1
5178.57797443,5178.56901351,0.00000000,1658.65185749,0.11626808,8.51664204,0.01998465,0.01998462,38591,118,1
5178.70205700,5178.70324566,1664.09254354,1664.04098140,0.29675175,8.60104020,0.01998461,0.01998462,38590,118,0
5178.84163354,5178.83748477,0.00000000,1670.08924381,0.03494852,8.69555964,0.01998463,0.01998462,38589,118,1
5178.98216429,5178.97173083,0.00000000,1676.19190175,0.16601246,8.79070542,0.01998466,0.01998462,38588,118,1
5179.08497251,nan,0.00000000,1680.65930540,0.07553890,8.86020899,0.01998557,0.01998462,38589,118,1
5179.23438080,5179.24024383,0.00000000,1687.15599953,0.28076748,8.96105488,0.01998459,0.01998462,38586,118,1
5179.38501352,5179.37451077,0.00000000,1693.71115460,0.47650856,9.06252401,0.01998466,0.01998462,38585,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,9.14417672,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,9.17500286,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,9.22118852,nan,0.00000000,-2147483648,118,1
5179.77223212,5179.77735335,0.00000000,1710.58607264,0.26355637,9.32235287,0.01998460,0.01998462,38582,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,9.40527069,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,9.45112147,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,9.48164995,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,9.51214715,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,9.57304664,nan,0.00000000,-2147483648,118,1
5180.20139451,5180.18025858,0.00000000,1729.32973317,0.00351202,9.60845752,0.01998470,0.01998462,38579,118,1
5180.31278290,5180.31457425,0.00000000,1734.20167435,0.21400461,9.68236615,0.01998461,0.01998462,38578,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,9.78516981,nan,0.00000000,-2147483648,118,1
5180.57903957,5180.58322648,0.00000000,1745.85913137,0.29792245,9.85840922,0.01998460,0.01998462,38576,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,9.96566833,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,10.05544113,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,10.08529306,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,10.14488687,nan,0.00000000,-2147483648,118,1
