A,e_A
2278.125448570446679,0.016863326522415
30512.889704581037222,0.662673968622388
407.332056543382350,20.441216210322416
7931.944031479768455,264.299825497600011
2458.932274009101093,5446.295745246379738
-475.905922077039577,2.480627216029097
1926.197874688543379,223.754261027211612
-63368.605134189128876,17437.995716429140884
7732.296987533569336,615539.363881659926847
-16548915.111206054687500,32792903.758820082992315
-8587.486138988286257,84.860808613760199
-226.874358836561441,1923.601375493374917
-14617.300583362579346,28965.581588998702500
105012.467430591583252,411518.922994603693951
-42081.499848961830139,7167.619928025534136
72320.851752758026123,166435.043136463093106
-345349.335136413574219,1727139.589377276599407
6982868.226654052734375,33259240.736351929605007
-3617777.332145690917969,505865.991478893964086
-780824.392227172851562,5670297.651797052472830
-30464575.022460937500000,106354914.775627106428146
-3072174.871093750000000,18179731.626750189810991
24761296.820312500000000,325356582.701728463172913
-588099402.156250000000000,942568769.406830668449402
