wlc,wll,posc,posm,posme,posmy,d,sd,k,order,flag
5159.62294497,nan,0.00000000,874.00000000,nan,7.65172858,0.01998528,0.01998462,38734,118,1
5159.62294497,nan,0.00000000,874.00000000,nan,7.65172858,0.01998528,0.01998462,38734,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,7.95536649,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,8.02260452,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,8.12330001,nan,0.00000000,-2147483648,118,1
5160.14023110,5159.98541943,0.00000000,894.50940998,0.41220413,8.34112314,0.01998522,0.01998462,38730,118,1
5160.25487785,5160.25193891,0.00000000,899.06116809,0.23975782,8.49289611,0.01998464,0.01998462,38728,118,1
5160.51884254,5160.51848593,909.55769829,909.57188255,0.47688581,8.84166185,0.01998463,0.01998462,38726,118,0
5160.51884254,5160.51848593,909.55769829,909.57188255,0.47688581,8.84166185,0.01998463,0.01998462,38726,118,0
5160.76991958,nan,0.00000000,919.53764408,0.21202158,9.17015408,0.01998457,0.01998462,38724,118,1
5160.76991958,nan,0.00000000,919.53764408,0.21202158,9.17015408,0.01998457,0.01998462,38724,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,9.41473416,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,9.51272341,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,9.61051990,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,9.70812371,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,9.93511701,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,9.99977976,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,10.12884874,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,10.19325503,nan,0.00000000,-2147483648,118,1
5161.72623041,nan,0.00000000,957.68023380,0.28402728,10.40776034,0.01998466,0.01998462,38717,118,1
5161.72623041,nan,0.00000000,957.68023380,0.28402728,10.40776034,0.01998466,0.01998462,38717,118,1
5161.72623041,nan,0.00000000,957.68023380,0.28402728,10.40776034,0.01998466,0.01998462,38717,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,10.57789914,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,10.73726075,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,10.80085617,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,10.92779129,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,11.11755501,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,11.21214949,nan,0.00000000,-2147483648,118,1
5162.50771754,5162.51846649,0.00000000,988.96955993,0.14249595,11.39980907,0.01998458,0.01998463,38711,118,1
5162.50771754,5162.51846649,0.00000000,988.96955993,0.14249595,11.39980907,0.01998458,0.01998463,38711,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,11.68225093,nan,0.00000000,-2147483648,118,1
5162.89047151,5162.65185364,0.00000000,1004.33397526,0.07014754,11.87932290,0.01998555,0.01998463,38710,118,1
5163.05274018,5163.05205645,1010.86371785,1010.89120559,0.45398130,12.08244419,0.01998463,0.01998463,38707,118,0
nan,nan,0.00000000,-1.00000000,0.00000000,12.17842571,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,12.24006580,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,12.30162113,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,12.45513875,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,12.51639756,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,12.57757170,nan,0.00000000,-2147483648,118,1
5163.63596557,5163.45232130,0.00000000,1034.33492097,0.05973616,12.80120107,0.01998534,0.01998463,38704,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,12.94283955,nan,0.00000000,-2147483648,118,1
5163.85212459,5163.85264822,1043.10662944,1043.08550199,0.31928522,13.06650349,0.01998463,0.01998463,38701,118,0
5163.85212459,5163.85264822,1043.10662944,1043.08550199,0.31928522,13.06650349,0.01998463,0.01998463,38701,118,0
5164.11595099,5164.11956732,0.00000000,1053.70420650,0.19177220,13.38627217,0.01998461,0.01998463,38699,118,1
5164.25789963,5164.25303721,0.00000000,1059.44042732,0.17305092,13.55802137,0.01998465,0.01998463,38698,118,1
5164.25789963,5164.25303721,0.00000000,1059.44042732,0.17305092,13.55802137,0.01998465,0.01998463,38698,118,1
5164.49408766,5164.51999770,0.00000000,1068.99307967,0.00356100,13.84249984,0.01998453,0.01998463,38696,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,13.96125397,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,14.02040205,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,14.16790405,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,14.40281383,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,14.46133113,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,14.51976441,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,14.60725684,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,14.72361953,nan,0.00000000,-2147483648,118,1
5165.34750491,5165.18751969,0.00000000,1103.59518088,0.08503474,14.85688206,0.01998525,0.01998463,38691,118,1
5165.47402928,5165.32104480,0.00000000,1108.73662891,0.20892430,15.00546171,0.01998522,0.01998463,38690,118,1
5165.47402928,5165.32104480,0.00000000,1108.73662891,0.20892430,15.00546171,0.01998522,0.01998463,38690,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,15.30040026,nan,0.00000000,-2147483648,118,1
5165.84848113,5165.85521426,0.00000000,1123.97033981,0.15283337,15.44244025,0.01998460,0.01998463,38686,118,1
5165.84848113,5165.85521426,0.00000000,1123.97033981,0.15283337,15.44244025,0.01998460,0.01998463,38686,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,15.69916336,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,15.84058567,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,15.89700836,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,15.95334752,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,16.06577531,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,16.26172061,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,16.31751727,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,16.40105593,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,16.53987025,nan,0.00000000,-2147483648,118,1
5166.92375340,5166.92388471,1167.88447784,1167.87910456,0.06169752,16.67482619,0.01998463,0.01998463,38678,118,0
5166.92375340,5166.92388471,1167.88447784,1167.87910456,0.06169752,16.67482619,0.01998463,0.01998463,38678,118,0
nan,nan,0.00000000,-1.00000000,0.00000000,16.78842404,nan,0.00000000,-2147483648,118,1
5167.18293293,5167.19112142,0.00000000,1178.47378992,0.15158362,16.96616902,0.01998460,0.01998463,38676,118,1
5167.18293293,5167.19112142,0.00000000,1178.47378992,0.15158362,16.96616902,0.01998460,0.01998463,38676,118,1
5167.31101193,5167.32475014,0.00000000,1183.72273001,0.05374505,17.10964470,0.01998458,0.01998463,38675,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,17.30761619,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,17.38890833,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,17.60477431,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,17.71220954,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,17.81931313,nan,0.00000000,-2147483648,118,1
5168.13541885,5168.12666763,0.00000000,1217.58394740,0.16974543,18.02147019,0.01998466,0.01998463,38669,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,18.19156619,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,18.34986168,nan,0.00000000,-2147483648,118,1
5168.54804079,5168.39402878,0.00000000,1234.58104789,0.33811324,18.47022051,0.01998522,0.01998463,38667,118,1
5168.54804079,5168.39402878,0.00000000,1234.58104789,0.33811324,18.47022051,0.01998522,0.01998463,38667,118,1
5168.78209663,5168.79512238,0.00000000,1244.23721837,0.15713187,18.72249909,0.01998458,0.01998463,38664,118,1
5168.78209663,5168.79512238,0.00000000,1244.23721837,0.15713187,18.72249909,0.01998458,0.01998463,38664,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,19.00142129,nan,0.00000000,-2147483648,118,1
5169.23466216,5169.06255271,0.00000000,1262.93859597,0.35654020,19.20562298,0.01998530,0.01998463,38662,118,1
5169.23466216,5169.06255271,0.00000000,1262.93859597,0.35654020,19.20562298,0.01998530,0.01998463,38662,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,19.46256387,nan,0.00000000,-2147483648,118,1
5169.57263578,5169.59749640,0.00000000,1276.93096828,0.27672610,19.56238411,0.01998453,0.01998463,38658,118,1
5169.74072165,5169.73124962,0.00000000,1283.89826193,0.15403606,19.73852592,0.01998467,0.01998463,38657,118,1
5169.85694563,nan,0.00000000,1288.71911492,0.14403222,19.85981905,0.01998460,0.01998463,38656,118,1
5169.85694563,nan,0.00000000,1288.71911492,0.14403222,19.85981905,0.01998460,0.01998463,38656,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,19.99213876,nan,0.00000000,-2147483648,118,1
5170.11293488,5170.13255083,0.00000000,1299.34676328,0.23007359,20.12552587,0.01998455,0.01998463,38654,118,1
5170.24938190,5170.26633175,0.00000000,1305.01683510,0.01195053,20.26633782,0.01998457,0.01998463,38653,118,1
5170.38267127,5170.40011959,0.00000000,1310.55928336,0.05356410,20.40334320,0.01998456,0.01998463,38652,118,1
5170.38267127,5170.40011959,0.00000000,1310.55928336,0.05356410,20.40334320,0.01998456,0.01998463,38652,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,20.58628263,nan,0.00000000,-2147483648,118,1
