2457390	 0.18	3.43	0	1
2457391	 0.18	3.43	0	1
2457392	 0.18	3.43	1	1
2457393	 0.18	3.43	0	1
2457394	 0.18	3.43	0	1
2457395	-1.57	0.70	33	0
2457396	 0.18	3.43	2	1
2457397	-0.79	1.26	33	0
2457398	 0.22	1.48	24	0
2457399	 0.18	3.43	0	1
2457400	-5.83	0.76	34	0
2457401	-8.03	0.72	33	0
2457402	 0.18	3.43	0	1
2457403	 0.18	3.43	0	1
2457404	 0.18	3.43	0	1
2457405	 0.18	3.43	0	1
2457406	 0.18	3.43	0	1
2457407	 0.18	3.43	0	1
2457408	-6.29	2.00	3	0
2457409	 0.18	3.43	0	1
2457410	-2.28	1.16	8	0
2457411	-4.64	0.97	12	0
2457412	-2.40	0.91	13	0
2457413	12.13	1.67	4	0
2457414	-4.05	0.59	33	0
2457415	-3.67	0.62	32	0
2457416	 0.18	3.43	0	1
2457417	 0.18	3.43	0	1
2457418	-2.09	0.63	33	0
2457419	 0.47	0.87	29	0
2457420	 0.18	3.43	0	1
2457421	-3.48	0.63	28	0
2457422	-6.92	1.20	15	0
2457423	 0.31	1.02	16	0
2457424	-2.31	2.35	7	0
2457425	-2.63	1.17	8	0
2457426	-1.07	0.74	20	0
2457427	-2.37	0.80	21	0
2457428	 0.18	3.43	0	1
2457429	 0.18	3.43	0	1
2457430	-6.49	1.02	11	0
2457431	 0.18	3.43	0	1
2457432	 0.18	3.43	0	1
2457433	 0.18	3.43	0	1
2457434	 0.18	3.43	0	1
2457435	 0.18	3.43	0	1
2457436	-3.53	1.25	8	0
2457437	 0.18	3.43	0	1
2457438	 0.18	3.43	0	1
2457439	 0.18	3.43	0	1
2457440	 0.52	1.06	13	0
2457441	 1.26	1.01	15	0
2457442	-0.20	0.67	26	0
2457443	 1.81	1.22	8	0
2457444	 0.11	0.70	23	0
2457445	 0.18	3.43	0	1
2457446	 0.18	3.43	0	1
2457447	 0.18	3.43	0	1
2457448	 0.18	3.43	0	1
2457449	-3.99	1.20	11	0
2457450	 0.18	3.43	0	1
2457451	 0.18	3.43	0	1
2457452	 0.18	3.43	0	1
2457453	 0.18	3.43	0	1
2457454	 0.18	3.43	0	1
2457455	 0.18	3.43	0	1
2457456	 0.18	3.43	0	1
2457457	 0.18	3.43	0	1
2457458	 0.18	3.43	0	1
2457459	 0.18	3.43	0	1
2457460	 0.18	3.43	0	1
2457461	 0.18	3.43	0	1
2457462	 0.18	3.43	0	1
2457463	 0.18	3.43	0	1
2457464	 0.18	3.43	0	1
2457465	 0.18	3.43	0	1
2457466	-1.18	1.05	11	0
2457467	-0.39	1.06	12	0
2457468	 0.87	2.31	8	0
2457469	 0.18	3.43	0	1
2457470	 0.18	3.43	0	1
2457471	 0.18	3.43	0	1
2457472	-2.70	0.94	13	0
2457473	-2.49	1.42	6	0
2457474	-1.61	1.01	13	0
2457475	-2.89	0.73	22	0
2457476	-1.89	0.98	15	0
2457477	-1.96	0.87	16	0
2457478	 0.18	3.43	0	1
2457479	 0.18	3.43	0	1
2457480	 0.18	3.43	0	1
2457481	 0.18	3.43	0	1
2457482	 0.18	3.43	0	1
2457483	 0.18	3.43	0	1
2457484	 0.18	3.43	0	1
2457485	 0.18	3.43	0	1
2457486	 0.18	3.43	0	1
2457487	 0.18	3.43	0	1
2457488	 0.53	1.08	10	0
2457489	-2.80	1.18	12	0
2457490	-0.55	0.79	23	0
2457491	 4.77	1.58	12	0
2457492	 2.34	1.25	8	0
2457493	-0.85	1.19	9	0
2457494	-3.27	0.90	17	0
2457495	-3.36	1.48	8	0
2457496	 0.18	3.43	0	1
2457497	 0.18	3.43	2	1
2457498	 0.18	3.43	0	1
2457499	-0.96	1.22	9	0
2457500	 0.18	3.43	0	1
2457501	 2.52	2.23	3	0
2457502	 0.18	3.43	0	1
2457503	 0.27	1.14	14	0
2457504	-3.21	0.92	16	0
2457505	-2.38	0.93	14	0
2457506	 0.18	3.43	0	1
2457507	 0.18	3.43	0	1
2457508	 0.18	3.43	0	1
2457509	-2.92	0.76	20	0
2457510	-4.42	0.84	16	0
2457511	-0.96	1.70	4	0
2457512	-0.91	1.09	13	0
2457513	 0.18	3.43	0	1
2457514	 0.18	3.43	2	1
2457515	 0.18	3.43	0	1
2457516	 0.18	3.43	0	1
2457517	 0.18	3.43	0	1
2457518	 0.18	3.43	0	1
2457519	 0.18	3.43	0	1
2457520	 0.18	3.43	0	1
2457521	 0.18	3.43	0	1
2457522	 0.18	3.43	0	1
2457523	 0.18	3.43	2	1
2457524	 0.18	3.43	0	1
2457525	 0.37	2.06	4	0
2457526	 0.18	3.43	0	1
