wlc,wll,posc,posm,posme,posmy,d,sd,k,order,flag
5176.87588257,5176.82569149,0.00000000,1585.00000000,nan,7.45976293,0.01998481,0.01998462,38604,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,7.60101400,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,7.67939857,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,7.72639637,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,7.80466775,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,7.89849120,nan,0.00000000,-2147483648,118,1
5177.64018847,5177.63061761,0.00000000,1617.90383819,0.11353449,7.97508539,0.01998466,0.01998462,38598,118,1
5177.88718437,5177.89898193,0.00000000,1628.56517146,0.23166752,8.14131015,0.01998457,0.01998462,38596,118,1
5177.88718437,5177.89898193,0.00000000,1628.56517146,0.23166752,8.14131015,0.01998457,0.01998462,38596,118,1
5178.02617665,5178.03317452,0.00000000,1634.57068939,0.06227194,8.23475139,0.01998459,0.01998462,38595,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,8.35013806,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,8.38115954,nan,0.00000000,-2147483648,118,1
5178.32422385,5178.16737407,0.00000000,1647.46333716,0.09701296,8.43483571,0.01998522,0.01998462,38594,118,1
5178.44776431,5178.43579402,0.00000000,1652.81325275,0.14656456,8.51764115,0.01998467,0.01998462,38592,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,8.61322629,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,8.70574136,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,8.73653788,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,8.76731300,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,8.85950697,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,8.89019353,nan,0.00000000,-2147483648,118,1
5179.11247027,5179.10696564,0.00000000,1681.65821697,0.20086765,8.96157673,0.01998464,0.01998462,38587,118,1
5179.24607030,5179.24122084,0.00000000,1687.46805489,0.07776163,9.05042818,0.01998464,0.01998462,38586,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,9.13483870,nan,0.00000000,-2147483648,118,1
5179.52052835,5179.50975211,0.00000000,1699.41630269,0.21921863,9.23250188,0.01998466,0.01998462,38584,118,1
5179.63535088,5179.64402819,0.00000000,1704.42016523,0.13393415,9.30848041,0.01998459,0.01998462,38583,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,9.40813266,nan,0.00000000,-2147483648,118,1
5179.92019171,5179.91260123,0.00000000,1716.84652022,0.20577824,9.49642755,0.01998465,0.01998462,38581,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,9.60412820,nan,0.00000000,-2147483648,118,1
5180.18981392,5180.18120211,0.00000000,1728.62641686,0.05653810,9.67358198,0.01998465,0.01998462,38579,118,1
5180.18981392,5180.18120211,0.00000000,1728.62641686,0.05653810,9.67358198,0.01998465,0.01998462,38579,118,1
5180.44288984,5180.44983085,0.00000000,1739.69892357,0.33723763,9.83914616,0.01998459,0.01998462,38577,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,9.87343336,nan,0.00000000,-2147483648,118,1
5180.59580610,5180.58415567,0.00000000,1746.39658602,0.23701753,9.93882676,0.01998467,0.01998462,38576,118,1
5180.71434216,5180.71848745,0.00000000,1751.59221300,0.03698471,10.01590193,0.01998461,0.01998462,38575,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,10.09588615,nan,0.00000000,-2147483648,118,1
5180.98640730,5180.98717190,1763.55479243,1763.52122025,0.14866782,10.19200809,0.01998462,0.01998462,38573,118,0
5181.11598066,5181.12152458,0.00000000,1769.22145761,0.35142241,10.27572606,0.01998460,0.01998462,38572,118,1
5181.26599751,5181.25588422,0.00000000,1775.81604763,0.10474746,10.37221844,0.01998466,0.01998462,38571,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,10.46234290,nan,0.00000000,-2147483648,118,1
5181.52828974,5181.52462441,0.00000000,1787.35908643,0.10683269,10.54015841,0.01998464,0.01998462,38569,118,1
5181.67176112,5181.65900496,0.00000000,1793.68000587,0.16957458,10.63158997,0.01998467,0.01998462,38568,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,10.70824403,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,10.76569555,nan,0.00000000,-2147483648,118,1
5181.94271012,5181.92778697,0.00000000,1805.63073507,0.22014899,10.80339368,0.01998468,0.01998462,38566,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,10.86585081,nan,0.00000000,-2147483648,118,1
5182.20826273,nan,0.00000000,1817.36067628,0.07207596,10.97062817,0.01998467,0.01998462,38564,118,1
5182.33668750,5182.33101225,0.00000000,1823.03957433,0.11307711,11.05108101,0.01998465,0.01998462,38563,118,1
5182.47186313,5182.46543462,0.00000000,1829.02133253,0.13443403,11.13545523,0.01998465,0.01998462,38562,118,1
5182.60641009,5182.59986397,0.00000000,1834.97970082,0.16814439,11.21911659,0.01998465,0.01998462,38561,118,1
5182.73932782,5182.73430028,0.00000000,1840.87026872,0.12977596,11.30144401,0.01998464,0.01998462,38560,118,1
