wlc,wll,posc,posm,posme,posmy,d,sd,k,order,flag
5163.35407534,5163.31422464,0.00000000,1023.00000000,nan,10.10695871,0.01998425,0.01998409,38704,118,1
5163.56861513,5163.58110171,0.00000000,1031.64145035,0.24397005,10.45803921,0.01998404,0.01998409,38702,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,10.63381702,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,10.71418547,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,10.79437164,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,10.91430977,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,11.11329942,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,11.23215050,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,11.35059574,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,11.54710530,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,11.62539526,nan,0.00000000,-2147483648,118,1
5164.51316086,5164.51538872,0.00000000,1069.78622117,0.06607877,11.96721615,0.01998408,0.01998409,38695,118,1
5164.51316086,5164.51538872,0.00000000,1069.78622117,0.06607877,11.96721615,0.01998408,0.01998409,38695,118,1
5164.68299235,5164.64888589,0.00000000,1076.66203268,0.08517592,12.23232160,0.01998422,0.01998409,38694,118,1
5164.91596553,5164.91590093,1086.12286201,1086.12548069,0.14338820,12.59378462,0.01998410,0.01998409,38692,118,0
5164.91596553,5164.91590093,1086.12286201,1086.12548069,0.14338820,12.59378462,0.01998410,0.01998409,38692,118,0
5164.91596553,5164.91590093,1086.12286201,1086.12548069,0.14338820,12.59378462,0.01998410,0.01998409,38692,118,0
nan,nan,0.00000000,-1.00000000,0.00000000,12.81618976,nan,0.00000000,-2147483648,118,1
5165.18384144,5165.18294357,1096.95364152,1096.99007867,0.34270936,13.00392804,0.01998410,0.01998409,38690,118,0
