A,e_A
2286.584617913573766,0.016910799444658
30420.161462206713622,0.667264080034100
290.743851938605076,20.303448641887950
7267.129799800924957,266.328176039111838
375.344514634460211,5383.739475407560349
-479.430854713111330,2.510279668928400
1966.110780118964612,224.113770035742789
-62265.832641124725342,17599.751900262312120
25743.429773330688477,612409.680747090838850
-15494411.189453125000000,32865442.173787981271744
-8582.532438355498016,86.060116917331626
251.943413008004427,1944.691148113159670
-16648.677036225795746,29183.353274393139145
-11400.551975727081299,411100.372050097095780
-40468.212881088256836,7201.880792841398943
87484.618257999420166,169964.210818967985688
-102181.199447631835938,1740809.071549498243257
957177.376617431640625,33333184.276142228394747
-3634953.879447937011719,521242.386102692980785
-2425062.062469482421875,5691547.204590424895287
-21474319.527832031250000,107735742.617001295089722
-1642174.004150390625000,18137810.599420163780451
-16286440.933593750000000,331515753.454492092132568
-555494414.375000000000000,960786256.078040719032288
