A,e_A
2265.219521112082930,0.016869132300229
30588.593960300106119,0.657319568153717
434.579110120015685,20.737011780799108
8132.993930452037603,259.912152273972083
3099.037856074050069,5502.717549451513150
-473.388481651665643,2.501759197210740
1986.254920122213662,221.720416925558425
-61919.355238139629364,17613.993847237212321
29257.913482666015625,601391.711565389065072
-14587584.187500000000000,32807176.109672520309687
-8625.728725505061448,85.971361240174659
50.885545186698437,1985.590334434635679
-16740.237134873867035,29267.426717209018534
37120.219215393066406,428832.391481604136061
-39902.182949781417847,7158.172701351059914
87477.066559314727783,171848.139156721445033
-283662.589828491210938,1730339.544532592175528
3090283.038665771484375,34353754.415615633130074
-3663927.029319763183594,520693.200047487858683
-2079441.602905273437500,5720124.274117055349052
-27820177.400390625000000,110223851.116346746683121
-349354.562988281250000,17975607.801798012107611
-20096026.683593750000000,334779570.504298448562622
-473668331.406250000000000,962333566.442429065704346
