order,wini,wend
68.0,0.6811798057594486,0.6906316386738215
69.0,0.671304271323607,0.6806242709030077
70.0,0.6617119352729025,0.670903449833575
71.0,0.6523892035782962,0.6614561899973322
72.0,0.6433257112525945,0.6522710498727811
73.0,0.6345108472365604,0.6433380411281906
74.0,0.625934572936663,0.63464609506227
75.0,0.6175865743675477,0.6261855311526379
76.0,0.609458670821718,0.6179479817837257
77.0,0.6015415278528168,0.6099239375249256
78.0,0.5938278526811676,0.6021059416391021
79.0,0.5863091698098667,0.5944853648637421
80.0,0.5789789650856121,0.5870555487231401
81.0,0.5718295188000823,0.5798094082728452
82.0,0.5648550018405963,0.5727394405369509
83.0,0.5580483616836108,0.5658400084186694
84.0,0.5514036201006599,0.5591050047544946
85.0,0.5449150793849206,0.552527861998528
86.0,0.5385780496639929,0.5461037910323269
87.0,0.5323865934122364,0.5398274994500792
88.0,0.5263357617794414,0.5336939360435186
89.0,0.5204208277203486,0.5276982772181154
90.0,0.5146379990068926,0.5218359143094238
91.0,0.5089815013380548,0.5161017206390959
92.0,0.5034486492002685,0.5104929289396332
93.0,0.4980340496224037,0.5050040689300198
94.0,0.49273534592976037,0.4996320014723088
95.0,0.487548193383341,0.49437373488497943
96.0,0.4824684129959319,0.48922431146183043
97.0,0.477494078423874,0.48418104408609836
98.0,0.4726212858537416,0.47924137052617105
99.0,0.4678469659954054,0.47440077150269827
100.0,0.4631674831942177,0.46965694537971914
101.0,0.45858138776475804,0.46500769678646525
102.0,0.454085268041872,0.46044888332933553
103.0,0.44967582980424725,0.45597921358102916
104.0,0.4453519216573678,0.4515947673188849
105.0,0.4411097679756877,0.4472944417394662
106.0,0.43694839274213526,0.4430751902435946
107.0,0.43286420910174384,0.43893406564860804
108.0,0.4288557333981958,0.4348702152775551
109.0,0.4249208866183469,0.43088085459646036
110.0,0.42105766517908716,0.42696394778407276
111.0,0.4172641375394045,0.4231181920740915
112.0,0.4135384409901555,0.41934037407079533
113.0,0.4098781235050619,0.4156293306494523
114.0,0.4062827634291844,0.4119839539925674
115.0,0.4027493787414869,0.40840188753993606
116.0,0.39927700816852735,0.4048814907354407
117.0,0.3958640904745098,0.4014205322952725
118.0,0.39250911723874027,0.398019422448461
119.0,0.389210630640043,0.3946747414163022
120.0,0.3859672213534318,0.39138570651541166
121.0,0.3827768870106003,0.388151575024837
122.0,0.37963959018974575,0.3849697292773083
123.0,0.3765527780125372,0.3818401534018076
124.0,0.3735158555097742,0.3787609564776394
