w,wave,R,flux_cont,Im
0.026764149510821733,3800.1181305395353,141985.38716886958,0.59224,0.5885335566009915
0.04896610531544624,3803.242367946919,77670.91835149885,0.12482,0.07041243753633342
0.13816178964784404,3805.341950773431,27542.650978050733,0.039337,0.034663334145552005
0.10035233556743858,3807.1412905983198,37937.744737787914,0.016904,0.015451741242283379
0.05843215032764084,3807.412270783099,65159.54400846402,0.36291,0.3477764335373858
0.06300052175868148,3812.966000386062,60522.768604858975,0.026418,0.004027844155503446
0.08856186178455751,3815.839719696046,43086.71523842571,0.0074645,0.0015105451613378895
0.039092551572577135,3819.6746950134398,97708.50306156241,0.14618,0.11940141215841965
0.06500208926801723,3821.177157268751,58785.45136469748,0.038726,0.02995756306151462
0.08757943567806352,3823.8918504895532,43661.98321425521,0.10508,0.06755575706977701
0.08935542373458043,3824.4430881747617,42800.34639570186,0.0065584,-0.001332013598209253
0.03742076798663348,3825.404208300882,102226.76909429808,0.14191,0.13120343640070586
0.04443253526295472,3826.6272940821564,86122.19112494751,0.11293,0.08267570161949006
0.07249789495589476,3827.5768131399423,52795.69586770084,0.101,0.10171280252622267
0.0794990346117188,3827.822340651291,48149.293376287605,0.0087842,0.0037147427360839647
0.046943053267895066,3828.150913806525,81548.82665939935,0.1263,0.11830893752556365
0.08217419504320388,3830.035294256238,46608.73516610123,0.18776,0.1845917453073399
0.02992551482354366,3830.4808007345364,128000.49801385326,0.33651,0.32921176895037735
0.06295358823638496,3830.8609648365873,60852.14635347004,0.086656,0.06837011325044517
0.059317677950629186,3831.6853070248853,64596.00981370247,0.036593,0.023015338367116556
0.045534358960250765,3832.89948138612,84175.9842217621,0.092704,0.07844710330212845
0.0434691093615775,3833.069346798931,88179.1553379972,0.1764,0.16923373283617882
0.04273918547684929,3833.208336927468,89688.38067828452,0.12003,0.1071562345635525
0.05281598860169285,3833.3066212477747,72578.5263654974,0.078415,0.06044827283448184
0.08690327472790343,3833.8631988284774,44116.44107580997,0.10772,0.10661240841230096
0.08145239960319306,3834.221648696201,47073.157664785285,0.0064834,-0.0014210930785897025
0.07428225001581186,3836.3300077451368,51645.31239870263,0.068628,0.05031098739775136
0.06906784321036949,3837.1348800893993,55556.0258107685,0.085173,0.06972529174629388
0.06806503221157795,3839.2554762904224,56405.69542898652,0.04815,0.038530726912520574
0.08350301096511474,3840.437214169856,45991.60161750676,0.0082871,-0.0017228900767191357
0.08043701449145887,3841.0486893542547,47752.25328337009,0.011069,0.0057260709651063
0.04912421785501878,3842.0499861246985,78210.91416587663,0.098537,0.03606746144632034
0.10147973698531945,3843.2566068245633,37872.15774298417,0.049113,0.0423277301433137
0.11478245585420455,3843.698913240878,33486.81542519968,0.13633,0.1356091775065829
0.12329303072714111,3845.468070340295,31189.662932779,0.032218,0.013407774868068323
0.12564356054524192,3846.7992371823884,30616.763966962135,0.055322,0.04458355457633112
0.06873215572348995,3848.3137935470318,55990.00574096397,0.17199,0.15966758777521606
0.07621020713772972,3849.539554704806,50512.12559687425,0.13213,0.09346157107745745
0.06931049956934127,3849.9679697527804,55546.677540552184,0.012557,0.0048513657361130835
0.08378027993629882,3850.817523116116,45963.29262738238,0.051511,-0.004261377737963645
0.03710961941167679,3851.170924990508,103778.23825858776,0.81433,0.8123268996345095
0.03351897203968723,3855.6629950041292,115029.2732855571,0.47315,0.44800649454286784
0.08961134786093178,3856.371392102897,43034.408968913354,0.0074714,-0.0010367891731737633
0.07581995080044304,3858.2921584481755,50887.55819168416,0.014588,0.0046963916745615675
0.0804776585481691,3859.2126707456805,47953.83887114195,0.04432,0.03292352994304826
0.12188934378558261,3860.542502702275,31672.5185549724,0.29662,0.2991445461217324
0.03817501405950827,3861.164638970985,101143.76468734484,0.14138,0.06399342884527703
0.05667794195217918,3861.592781869169,68132.19832730177,0.11885,0.05565039788166437
0.08858923556912238,3862.8078389261423,43603.58021051168,0.24957,0.23584277541007648
0.05059322664493466,3863.058178936567,76355.24427108925,0.17636,0.1405248417735192
0.04978656776963664,3864.3029137735894,77617.37928297828,0.16088,0.13295301769713253
