bjd,nzp,rvc,avc,tzp_med,tzp_gauss,tzp_weight,tzp_mean,t1,t2,t3,t4,t5,t6,t7,t8,id
2458058.4223,-1.1692585752283626,28.652916,0.7863558575322932,96.90627066591212,97.28993976616218,96.35696664444538,97.39760185940308,10.87309090909099,10.700818181818192,10.699333333333357,10.530272727272743,10.480545454545506,10.40191666666675,10.49550000000005,10.369181818181858,J00051+457
2458059.4372,2.210005256999055,31.501399,0.2555750253048735,97.11112940317008,97.33569849666247,95.9738661250196,96.88538800152492,10.874166666666667,10.70150000000001,10.70027272727276,10.53172727272721,10.481583333333331,10.40300000000002,10.496363636363697,10.370000000000005,J00051+457
2458060.3884,2.4670918970597264,31.620832,0.117921385244203,96.90360196211454,96.86884279312817,96.325087172507,97.18597164496109,10.875083333333407,10.702500000000043,10.701545454545451,10.531909090909153,10.483749999999986,10.40390909090911,10.497818181818218,10.371416666666732,J00051+457
2458079.4385,-1.1987172770026429,-1.922315,-3.180636007188744,96.85540009416036,96.88486396319722,96.3323348436832,97.12996849964053,10.790818181818167,10.618166666666696,10.61700000000002,10.447727272727263,10.398499999999956,10.320000000000109,10.413250000000003,10.287181818181809,J00067-075
2458084.3897,1.0418680957753876,1.416073,-2.082833379966775,96.86386985590806,97.21105059443964,96.9855526836985,97.6412104420145,10.783083333333366,10.611333333333334,10.60981818181824,10.440363636363656,10.390916666666726,10.311909090909126,10.40590909090912,10.279416666666634,J00067-075
2458092.3591,-2.6168990853568905,1.886771,2.046631801165504,97.69345812756512,97.29367703219192,96.92271463560776,97.9153831771916,10.77636363636367,10.603727272727326,10.602416666666729,10.434181818181798,10.385833333333323,10.306416666666678,10.400750000000071,10.273727272727283,J00067-075
2458095.3529,-3.30254066817335,4.931067,5.776569383981962,96.64822044063877,96.66237412425276,96.29302305905264,96.87346417061774,10.77950000000004,10.607166666666672,10.60627272727271,10.437083333333362,10.388583333333315,10.309454545454514,10.403363636363622,10.277000000000044,J00067-075
2458109.3484,1.1288228273807157,3.04458,-0.5412811115721026,98.45478396762704,98.4951799333764,96.1675650912727,96.6956597765502,10.759000000000071,10.58600000000007,10.58472727272732,10.41718181818186,10.368000000000052,10.288818181818217,10.382454545454609,10.256416666666668,J00067-075
2458120.3339,-2.0975463001744186,-1.204914,-1.5644059840169684,97.64320330024202,97.7894648134118,97.3387538615773,98.37216274839844,10.765666666666732,10.59318181818179,10.59183333333334,10.423333333333346,10.374545454545457,10.29533333333336,10.389500000000057,10.26400000000001,J00067-075
2458316.6617,0.5273168284612957,3.944327,0.9599718873473172,96.2930043081284,96.64237256493014,95.7037539127345,96.48916993725894,10.853727272727326,10.681363636363642,10.680090909090891,10.510090909090934,10.458399999999983,10.380100000000027,10.473090909090956,10.34736363636364,J00067-075
2458327.6334,1.312954784975474,2.079384,-1.690609069166861,95.39491147984552,95.30090187586292,94.38402540889284,95.29892288034702,10.88145454545463,10.709750000000042,10.70700000000005,10.53818181818184,10.487363636363682,10.408833333333348,10.50225000000006,10.376000000000031,J00067-075
2458329.6058,-0.5444540627692319,3.41831,1.505725778577845,96.19257516310292,96.0883463426891,95.51006547678227,96.38585288528355,10.87999999999994,10.707416666666688,10.705727272727302,10.537000000000036,10.48500000000007,10.405916666666656,10.499916666666708,10.37336363636365,J00067-075
2458333.5999,1.7682747859631824,4.116773,-0.1085400701545691,96.52983937736504,96.30715119342985,95.68928550315684,96.50166229658844,10.884916666666696,10.71272727272725,10.711666666666645,10.541583333333335,10.490454545454554,10.411454545454546,10.50541666666669,10.379250000000011,J00067-075
2458335.65,0.665217625822184,2.089055,-1.0332009100135708,95.30249600145255,95.56747615909032,94.44923317536926,95.25283072441276,10.88554545454548,10.712636363636364,10.710909090909126,10.5418181818182,10.49054545454544,10.41170000000011,10.504909090909052,10.379090909090962,J00067-075
2458337.6446,1.97821944495242,3.49932,-0.9359377291438068,96.1234146205772,96.02307694536177,95.60717161579647,96.38466947043236,10.888750000000016,10.715916666666716,10.714999999999977,10.545363636363676,10.49354545454554,10.41424999999998,10.508166666666682,10.381636363636405,J00067-075
2458342.6014,-0.5270002966153626,5.568304,3.638266012423976,95.9114841285174,96.02252245963888,95.10671368254916,95.96995810050969,10.89224999999999,10.71954545454554,10.717833333333374,10.548333333333346,10.497636363636389,10.41790909090912,10.512333333333288,10.385545454545422,J00067-075
2458346.6256,1.0088183098147234,5.439837,1.9739804059938888,96.00826018203772,96.03596827959278,94.84741197990355,95.67918658695534,10.88827272727275,10.715833333333364,10.714181818181771,10.54454545454547,10.492833333333351,10.413166666666712,10.507083333333355,10.380363636363654,J00067-075
2458349.6278,-1.15333957904967,4.105823,2.8021242948582827,96.07180935670208,96.26035103648098,95.03451917012327,95.84709637835124,10.87375000000003,10.701250000000016,10.699750000000051,10.530454545454518,10.47790909090918,10.399250000000052,10.492583333333355,10.366363636363587,J00067-075
2458351.578,0.914446311044409,4.969886,1.598401404764204,96.14046162758476,96.15234062594442,95.09417541339316,95.97949783025848,10.86775,10.695363636363652,10.693833333333371,10.524272727272717,10.47063636363646,10.39125000000007,10.485250000000008,10.35936363636364,J00067-075
2458353.5168,1.321321718311948,4.760165,0.9818049974966648,95.46648658990216,95.886005796671,94.65892513730614,95.66235372750243,10.865083333333304,10.692454545454495,10.691333333333375,10.521545454545503,10.469727272727312,10.390454545454531,10.48416666666668,10.35845454545455,J00067-075
