bjd,rvc,e_rvc,avc,e_avc,nzp_date,e_nzp_date,nzp_obs,e_nzp_obs,tzp_pix,tzp_pix_w,tzp_rv,tzp_rv_w,pix2ms,t1,t2,t3,t4,t5,t6,t7,t8,pres,star,spt
2458167.316000,-8.535033,1.817266,4.379173,2.581941,-1.166885,1.729376,-2.866135,1.834111,0.000847,-0.000173,0.992547,-0.287609,1257.998139,10.891182,10.718455,10.717727,10.547182,10.498273,10.419583,10.512167,10.386273,0.000020,J09144+526,M0.0 V
2458171.473700,-6.639856,1.423845,3.826033,1.722274,0.792244,1.037159,-0.417819,0.968964,0.000718,0.000037,0.957189,0.099377,1256.765108,10.815417,10.642455,10.641000,10.472500,10.422917,10.344417,10.437818,10.311417,0.000019,J09144+526,M0.0 V
2458172.399200,-16.343938,1.479816,0.722307,1.888928,-6.136462,1.278113,-7.018174,1.173966,0.000733,0.000229,0.995958,0.359992,1256.229694,10.807091,10.634000,10.633364,10.464091,10.415091,10.336364,10.429833,10.303083,0.000018,J09144+526,M0.0 V
2458175.426000,-9.373261,1.446575,2.337440,1.645551,-0.574760,0.821940,-1.662630,0.784384,0.001253,0.000062,1.633242,0.134397,1256.364637,10.784909,10.612583,10.611000,10.442818,10.394636,10.314818,10.408750,10.282909,0.000018,J09144+526,M0.0 V
2458187.501500,-9.846472,3.480382,-0.970503,3.626189,2.292708,0.971675,1.172102,1.017934,-0.000203,-0.000115,-0.197152,-0.089776,1256.249942,10.763250,10.590917,10.590000,10.421818,10.373000,10.294636,10.388833,10.262167,0.000019,J09144+526,M0.0 V
2458199.313400,-2.196122,2.530016,8.812772,2.589593,0.395987,0.625445,-0.960823,0.552279,0.000715,0.000327,0.979431,0.488134,1257.022302,10.759000,10.586727,10.585455,10.416727,10.368167,10.289167,10.382833,10.256636,0.000021,J09144+526,M0.0 V
2458206.396200,-10.306663,1.651802,0.553146,1.757963,-0.013188,0.472476,-0.811738,0.601651,-0.000355,0.000072,-0.387436,0.145833,1256.815348,10.762083,10.589583,10.588833,10.420417,10.372182,10.293182,10.387273,10.261250,0.000019,J09144+526,M0.0 V
2458207.384300,-10.522281,1.838208,-1.351676,2.199772,1.812453,1.250619,0.877466,1.208300,0.000027,0.000047,0.120101,0.140657,1257.085584,10.760545,10.588750,10.586727,10.418273,10.370000,10.291333,10.385167,10.259273,0.000022,J09144+526,M0.0 V
2458209.468000,-13.664847,1.429133,-2.481229,1.537422,-0.343662,0.588390,-1.135547,0.566785,0.001024,0.000302,1.376813,0.466004,1256.726257,10.755083,10.582583,10.581083,10.412364,10.364455,10.285364,10.378917,10.252833,0.000021,J09144+526,M0.0 V
2458211.411000,-18.130889,1.743615,-7.574552,1.893509,1.058977,0.896992,-0.508266,0.738366,0.001160,0.000047,1.553290,0.151769,1256.619147,10.750273,10.577333,10.576727,10.407909,10.359727,10.280667,10.374333,10.248455,0.000024,J09144+526,M0.0 V
2458212.401400,-16.144998,1.437777,-4.823343,1.520872,-0.706031,0.646444,-1.273584,0.495831,0.000902,-0.000053,1.221574,0.017961,1257.309438,10.748083,10.575333,10.574667,10.406364,10.357091,10.278455,10.371917,10.246083,0.000024,J09144+526,M0.0 V
2458215.299600,-15.718616,1.465490,-3.709529,1.597539,-1.565448,0.770665,-1.961016,0.635980,0.001766,0.000162,2.308619,0.289139,1256.690989,10.755455,10.582750,10.582000,10.414000,10.365091,10.286909,10.380500,10.254273,0.000023,J09144+526,M0.0 V
2458217.363000,-8.096916,2.378861,2.641657,2.615178,0.120308,0.976891,-0.690502,1.086359,0.001419,0.000097,1.876016,0.212287,1256.054058,10.754750,10.581909,10.581167,10.412250,10.363250,10.284545,10.378364,10.251167,0.000022,J09144+526,M0.0 V
2458218.363500,-5.529486,3.329359,5.310495,3.632774,0.130059,1.293487,-0.791910,1.453416,0.002008,0.000045,2.623349,0.154261,1256.940613,10.753818,10.581273,10.580000,10.411417,10.362417,10.284083,10.377545,10.251636,0.000024,J09144+526,M0.0 V
2458225.348100,-5.698617,1.136994,5.792572,1.402333,-0.594613,0.643493,-1.443119,0.820842,0.008143,0.000151,10.286111,0.243311,1256.703757,10.795000,10.622273,10.621583,10.451833,10.403333,10.324917,10.417818,10.291417,0.000002,J09144+526,M0.0 V
2458229.454200,-16.203712,1.580161,-5.632049,2.557715,-0.852089,2.241177,-0.523592,2.011218,0.007973,-0.000039,10.132928,0.069776,1255.842759,10.776000,10.603750,10.602636,10.433636,10.384182,10.305917,10.399500,10.273091,0.000002,J09144+526,M0.0 V
2458237.444800,-11.367668,2.510423,-3.765834,2.668543,3.330052,0.851980,2.446237,0.904929,0.007285,-0.000034,9.298153,0.103100,1256.405200,10.760250,10.587182,10.586583,10.418417,10.368083,10.289091,10.382636,10.256417,0.000002,J09144+526,M0.0 V
2458238.436700,-12.978479,1.865167,-1.871214,1.952662,-0.329521,0.617128,-1.059195,0.577964,0.007622,-0.000178,9.727667,-0.075335,1256.449508,10.757818,10.584917,10.583727,10.414727,10.365636,10.285727,10.380583,10.254000,0.000002,J09144+526,M0.0 V
2458245.416300,-10.466091,1.278576,-0.718308,1.629260,0.847668,1.121807,0.300288,1.009818,0.007364,0.000099,9.350798,0.221784,1256.039026,10.761083,10.588636,10.587583,10.419333,10.369750,10.291000,10.385000,10.258750,0.000003,J09144+526,M0.0 V
2458246.464100,-12.787909,1.225758,-2.730223,1.595573,-0.646481,1.573979,-0.009615,1.021455,0.007465,0.000209,9.481268,0.359349,1257.060468,10.761583,10.588750,10.587833,10.419636,10.370636,10.291909,10.385750,10.259583,0.000003,J09144+526,M0.0 V
2458249.480600,-7.123688,1.426625,3.771373,1.881714,0.394955,1.164778,-0.846991,1.227024,0.006985,0.000030,8.852387,0.113191,1256.624600,10.765636,10.593000,10.591909,10.423364,10.374000,10.295364,10.388750,10.263364,0.000003,J09144+526,M0.0 V
2458258.374100,-13.129575,1.301522,-2.186430,2.265731,-1.697787,1.912368,-0.895074,1.854610,0.007706,-0.000051,9.775570,0.027896,1256.362079,10.764917,10.592000,10.591000,10.422417,10.372364,10.293636,10.387167,10.261417,0.000004,J09144+526,M0.0 V
2458260.369200,-12.355650,1.061978,-2.945566,1.495686,1.010523,1.262130,0.637987,1.053223,0.006682,-0.000290,8.472673,-0.287595,1256.582282,10.769417,10.596909,10.595667,10.427083,10.376545,10.297909,10.392000,10.265833,0.000004,J09144+526,M0.0 V
2458261.371800,-14.613659,1.140188,-5.894067,1.482816,1.029149,1.187934,1.328479,0.948005,0.002610,-0.000297,3.347960,-0.306294,1257.192078,10.771455,10.598750,10.597455,10.429273,10.379545,10.301333,10.395417,10.269182,0.000003,J09144+526,M0.0 V
2458262.345900,-14.971642,1.744064,-8.478611,2.455524,1.693229,2.347218,3.555040,1.728537,0.008821,-0.000047,11.158433,0.002878,1257.748694,10.777167,10.604417,10.603583,10.435167,10.385545,10.307909,10.401083,10.275500,0.000004,J09144+526,M0.0 V
2458263.402100,-15.382217,1.755259,-4.236332,2.132569,-0.794912,1.407113,-1.097814,1.211163,0.006170,-0.000404,7.834706,-0.427453,1256.800218,10.782417,10.610182,10.609000,10.440917,10.391182,10.312727,10.406545,10.280583,0.000003,J09144+526,M0.0 V
2458264.381000,-13.579378,1.342275,-4.527392,1.964265,0.837357,1.205843,0.996085,1.434098,0.005156,-0.000113,6.567858,-0.059045,1257.548797,10.782000,10.609364,10.608333,10.439500,10.390000,10.311545,10.405455,10.279583,0.000004,J09144+526,M0.0 V
2458266.422500,-2.349589,2.161404,6.822385,2.362045,2.404755,0.875994,0.876097,0.952675,0.007001,0.000124,8.883763,0.239761,1257.148917,10.778500,10.606000,10.604750,10.435727,10.386000,10.306636,10.400833,10.273818,0.000004,J09144+526,M0.0 V
2458273.394500,-1.813229,1.485000,6.640088,1.928502,2.574167,0.721106,1.594754,1.230404,0.006982,-0.000500,8.847371,-0.559582,1257.249908,10.775083,10.603091,10.601583,10.432833,10.382000,10.304000,10.397091,10.271667,0.000005,J09144+526,M0.0 V
2458284.349100,-6.466227,1.524087,4.563783,2.010590,0.255493,1.342240,-0.981939,1.311347,0.003015,0.000105,3.880043,0.219256,1256.499664,10.781917,10.608833,10.608583,10.439500,10.388000,10.310000,10.404500,10.278667,0.000005,J09144+526,M0.0 V
2458291.360100,0.296509,2.084856,9.185602,2.181540,2.388972,0.671090,1.158978,0.642255,0.002156,-0.000010,2.760550,0.035785,1256.712091,10.806250,10.634333,10.632417,10.463909,10.412909,10.334091,10.428167,10.302182,0.000006,J09144+526,M0.0 V
2458396.669900,-12.773948,1.605310,-0.920170,1.769318,-1.216551,0.812371,-1.805707,0.743952,0.001975,0.000044,2.448588,0.021731,1257.388402,10.861333,10.689000,10.688000,10.518727,10.466333,10.387250,10.481000,10.355333,0.000017,J09144+526,M0.0 V
2458398.619100,-10.657179,2.076241,0.208640,2.418920,0.011432,1.140498,-0.817749,1.241127,0.004598,-0.000232,5.767157,-0.303128,1256.773119,10.856750,10.683545,10.683250,10.514167,10.461455,10.381917,10.476333,10.350182,0.000017,J09144+526,M0.0 V
2458302.450200,-4.094111,0.979805,2.081952,1.200354,0.623230,0.648371,-0.685661,0.693421,0.005223,-0.000021,6.532293,-0.062361,1258.118595,10.850455,10.677727,10.676417,10.508000,10.456000,10.376750,10.470727,10.344750,0.000010,J13427+332,M3.5 V
2458328.387800,-7.649375,0.817550,-3.164656,1.093897,1.830164,0.863833,1.005683,0.726789,0.003685,-0.000091,4.543232,-0.204247,1258.229954,10.881500,10.709000,10.707167,10.538167,10.487273,10.408455,10.501500,10.375818,0.000010,J13427+332,M3.5 V
2458487.734700,-6.967719,0.929903,-1.691995,1.239782,0.609301,0.711922,0.214678,0.819963,0.002363,0.000116,3.123694,0.295070,1256.712549,10.742909,10.570182,10.568833,10.401333,10.349364,10.270818,10.364917,10.238182,0.000007,J13427+332,M3.5 V
2458525.673000,-8.574182,0.761210,-2.259660,1.236410,-0.440511,0.942335,-0.824120,0.974305,0.004575,-0.000114,5.855049,-0.043751,1257.234319,10.772636,10.600167,10.598636,10.430417,10.380500,10.302000,10.396182,10.269583,0.000013,J13427+332,M3.5 V
2458545.581500,-7.747750,0.798980,-2.614654,1.088230,1.226776,0.736372,0.357306,0.738834,0.001448,-0.000096,1.911214,-0.032132,1256.764318,10.781273,10.609250,10.608091,10.439000,10.387667,10.309091,10.402909,10.276667,0.000014,J13427+332,M3.5 V
2458601.570000,-1.321558,0.885943,4.122331,1.146486,1.340295,0.789681,0.046512,0.727692,0.000048,-0.000147,0.134237,-0.111497,1257.055319,10.784636,10.612333,10.611091,10.442333,10.392000,10.312818,10.406455,10.281083,0.000022,J13427+332,M3.5 V
2458131.769400,-12.617727,1.662007,-1.099409,1.838443,-0.207852,0.722434,-1.244313,0.785878,0.000201,-0.000006,0.323674,0.060458,1257.157666,10.759667,10.587091,10.586417,10.417833,10.367727,10.288750,10.382818,10.257000,0.000010,J14257+236W,M0.0 V
2458149.701800,-12.858681,1.271434,0.621259,1.506820,-2.115978,0.741030,-3.205936,0.808679,0.000739,0.000133,1.007109,0.242303,1256.833918,10.760917,10.588333,10.587273,10.418636,10.369909,10.291091,10.384833,10.258818,0.000011,J14257+236W,M0.0 V
2458170.725400,-15.058661,1.188192,-3.765331,1.439088,-0.706464,0.858029,-1.019326,0.811896,0.000495,-0.000065,0.631023,-0.074435,1258.223203,10.824091,10.651333,10.650545,10.480545,10.431636,10.352583,10.446250,10.320636,0.000018,J14257+236W,M0.0 V
2458171.688800,-12.225435,1.892805,-2.047713,2.146676,0.792244,1.037159,0.096283,1.012674,0.000719,0.000028,0.958698,0.087781,1256.765555,10.812750,10.640091,10.639167,10.469583,10.421000,10.341455,10.435636,10.309167,0.000020,J14257+236W,M0.0 V
2458199.610100,-10.539581,2.242027,0.471627,2.332314,0.395987,0.625445,-0.737204,0.642653,0.000725,0.000336,0.993599,0.499649,1257.018585,10.759000,10.586167,10.585167,10.416917,10.368818,10.290727,10.385333,10.257583,0.000019,J14257+236W,M0.0 V
2458212.556800,-12.049872,1.254738,-0.276744,1.370914,-0.706031,0.646444,-1.499124,0.552302,0.000861,-0.000059,1.169311,0.010276,1257.309429,10.747909,10.576000,10.575091,10.405636,10.356545,10.278167,10.371417,10.245455,0.000022,J14257+236W,M0.0 V
