Ech. G [mm$^{-1}$],Coll x-tilt [deg],Ech. inc. angle [deg],Grism x-tilt [deg],Cam x-tilt [deg],Coll y-tilt [deg],Ech. $\gamma$-angle [deg],Slit x-dec [mm],Field flattener y-dec [mm]
31.61069866008211,0.08887158987941522,-74.97710952638882,-0.015853570018194152,-0.018279796395893208,-0.031829501662345744,1.1404735987677115,-0.1960206789439371,0.00014885293969937554
31.61069811273969,0.08887072054343204,-74.97710812219051,-0.015846846531191214,-0.01827987131481599,-0.03182640242276002,1.140472517381726,-0.1960218220035334,0.00014337918738658602
31.610699650449718,0.08887135649321166,-74.97711160020678,-0.015851655467094414,-0.018281396046126837,-0.031827964274015415,1.1404719372628356,-0.19601799013783602,0.00014068897829888893
31.61069950488547,0.0888731441666562,-74.97711222522858,-0.01585283126385398,-0.018276077023048183,-0.03183136095622581,1.140471400850505,-0.1960240943697202,0.00013530500361949577
31.610698018312075,0.08887220024072112,-74.97710617057255,-0.01584810330005146,-0.01828308957520374,-0.03182780485622667,1.140473673514177,-0.1960209679085983,0.000143856793609869
31.610698736089617,0.08887150570300774,-74.97711047356655,-0.015846647917535036,-0.01828345668935525,-0.03182994508886149,1.1404726720890743,-0.19602013760575362,0.00014464174129377976
31.610699837644123,0.08887407797805798,-74.977113160637,-0.01585023328397452,-0.018278417269539497,-0.031823582615507044,1.1404766379036413,-0.19602206818998413,0.00013825086106858354
31.610698721110303,0.08886724739424437,-74.97710814629191,-0.015851474975995577,-0.018285733322209948,-0.03183068031329659,1.140469662782321,-0.1960175250249285,0.00014061509454973877
31.610698286538195,0.08887068394295956,-74.97710568943302,-0.01585026884679803,-0.018279843102532146,-0.03182670506071255,1.140472168859713,-0.19602216807342873,0.0001418561980576201
31.610699157545103,0.08887497728191958,-74.97710809937409,-0.015849918830312257,-0.01828227259068006,-0.03182652051439749,1.1404774885055906,-0.19602050838027268,0.00014550540072940464
31.610698404496453,0.08887340735623422,-74.97710674269545,-0.015850544839315486,-0.018281465611028013,-0.031829311256201656,1.1404734067244242,-0.19602007251452686,0.00014225110125377663
31.610698967445632,0.08887348685725967,-74.9771093954852,-0.015847827720860443,-0.018278033128105425,-0.03183005796806517,1.140470929882075,-0.19602108957788647,0.00014103740266090264
31.61069901850392,0.08887114954071167,-74.97710798535209,-0.01585562211603752,-0.018277614931034213,-0.0318242330397091,1.1404761870617153,-0.19601559361172502,0.00013823492338992517
31.610699605251195,0.08887222927885538,-74.97710755657728,-0.01585533212607887,-0.018281922911401745,-0.031828438399081366,1.140471180165045,-0.19602444530520596,0.0001361794112371488
31.610697875458865,0.08887133471574056,-74.97710360291974,-0.015853110886278526,-0.018275896021948394,-0.03182645768791687,1.1404753505192713,-0.19602456709549257,0.0001434498843723535
31.610699198052128,0.08887476178213191,-74.97711103040093,-0.015844243933653985,-0.018281084108232332,-0.03182601336158499,1.1404731303319224,-0.19602153899977048,0.0001393466266706097
31.610698813238585,0.08887239864753776,-74.97710859733537,-0.015852030208354743,-0.018278333440895512,-0.03182980319896141,1.1404719817329743,-0.19602007889000106,0.0001443850296268105
31.61069921052555,0.08887238449628188,-74.97711011261748,-0.015854785875250688,-0.01827816617924997,-0.03182610464104423,1.140473959404287,-0.19602019121964923,0.00014192063088163577
31.61069824694888,0.08886774335148301,-74.97710649275598,-0.01585414320786298,-0.018285184103891457,-0.03182404643580808,1.1404756794239903,-0.1960164701310507,0.00013817525432295344
31.610699353583023,0.08887398743422716,-74.97711172516136,-0.015852644356723178,-0.018278427156744603,-0.03182618419585583,1.140473757930902,-0.19601619542532897,0.00014145740971677957
31.610700016220292,0.08887355710442389,-74.97711014699796,-0.015852806356963196,-0.01828381782796482,-0.03182768392504977,1.1404728823979504,-0.1960202364844948,0.00014198442505322247
31.610698531582933,0.08887167906018213,-74.97710748856818,-0.01584907558643175,-0.01828237214011256,-0.03182632175216033,1.1404759314541044,-0.1960214645889114,0.00013851462129888675
31.610697493384095,0.08886655098291897,-74.97710146646618,-0.01585382517505648,-0.01828104194529155,-0.0318253932179881,1.1404745392487212,-0.19601680535418745,0.00013816285819807066
31.610698957456012,0.08887745462206689,-74.97710917039491,-0.01584792794371533,-0.018278006661011943,-0.031829089017969374,1.1404726241204801,-0.1960217038669065,0.00014442617579729235
31.61069820651466,0.08887204761770663,-74.97710297102094,-0.015858271479731095,-0.018277005770849775,-0.03182260191565549,1.140475748246629,-0.19602117794814175,0.00013445185113840802
31.61069940174522,0.08887171142292045,-74.97710875300368,-0.01586132101936634,-0.01827724372968583,-0.031823501670077234,1.1404755353022582,-0.19602028860880427,0.0001352763865999634
31.61069926201211,0.08887275644261464,-74.97710799364731,-0.015854482836405205,-0.018277693003518072,-0.03182659398526084,1.1404743163101765,-0.19602444426894422,0.00013247124167504543
31.61070006241389,0.08887353530232038,-74.97711301878815,-0.015850333144877445,-0.018284193471749824,-0.03182487543126373,1.1404755993002034,-0.1960289753222097,0.00013592101338010868
31.61069876110749,0.0888724415335713,-74.97710736112234,-0.015851708467241953,-0.01827903389886872,-0.03183027298570318,1.1404722207784845,-0.19602364454342192,0.00013478798186903184
31.610698727681733,0.0888718767462831,-74.97710891157767,-0.015852200316153923,-0.0182788588428929,-0.03182986121089238,1.1404705060906648,-0.19602201340179562,0.00013278199813888795
31.61069882755954,0.08887152814533865,-74.97710663741223,-0.015853743816804145,-0.018279644316101414,-0.031828009403939095,1.1404734139002903,-0.1960205040093736,0.000141286537299482
