    0.316106986600821109E+02    0.888715898794152220E-01   -0.749771095263888157E+02   -0.158535700181941519E-01   -0.182797963958932080E-01   -0.318295016623457439E-01    0.114047359876771148E+01   -0.196020678943937099E+00    0.148852939699375541E-03    0.762743915419201553E+08
    0.316106981127396907E+02    0.888707205434320358E-01   -0.749771081221905149E+02   -0.158468465311912138E-01   -0.182798713148159889E-01   -0.318264024227600181E-01    0.114047251738172606E+01   -0.196021822003533408E+00    0.143379187386586022E-03    0.762743920858224779E+08
    0.316106996504497175E+02    0.888713564932116645E-01   -0.749771116002067828E+02   -0.158516554670944144E-01   -0.182813960461268368E-01   -0.318279642740154148E-01    0.114047193726283558E+01   -0.196017990137836023E+00    0.140688978298888925E-03    0.762743920945014805E+08
    0.316106995048854706E+02    0.888731441666562039E-01   -0.749771122252285807E+02   -0.158528312638539816E-01   -0.182760770230481831E-01   -0.318313609562258099E-01    0.114047140085050502E+01   -0.196024094369720209E+00    0.135305003619495769E-03    0.762743923060907871E+08
    0.316106980183120747E+02    0.888722002407211220E-01   -0.749771061705725543E+02   -0.158481033000514616E-01   -0.182830895752037412E-01   -0.318278048562266672E-01    0.114047367351417694E+01   -0.196020967908598298E+00    0.143856793609868996E-03    0.762743937216987759E+08
    0.316106987360896170E+02    0.888715057030077388E-01   -0.749771104735665546E+02   -0.158466479175350360E-01   -0.182834566893552500E-01   -0.318299450888614929E-01    0.114047267208907432E+01   -0.196020137605753625E+00    0.144641741293779764E-03    0.762743938056095392E+08
    0.316106998376441233E+02    0.888740779780579776E-01   -0.749771131606370034E+02   -0.158502332839745193E-01   -0.182784172695394966E-01   -0.318235826155070442E-01    0.114047663790364129E+01   -0.196022068189984133E+00    0.138250861068583541E-03    0.762743940169902742E+08
    0.316106987211103032E+02    0.888672473942443697E-01   -0.749771081462919113E+02   -0.158514749759955768E-01   -0.182857333222099482E-01   -0.318306803132965901E-01    0.114046966278232098E+01   -0.196017525024928502E+00    0.140615094549738774E-03    0.762743942824886739E+08
    0.316106982865381951E+02    0.888706839429595635E-01   -0.749771056894330172E+02   -0.158502688467980317E-01   -0.182798431025321464E-01   -0.318267050607125498E-01    0.114047216885971303E+01   -0.196022168073428732E+00    0.141856198057620101E-03    0.762743947397780716E+08
    0.316106991575451026E+02    0.888749772819195788E-01   -0.749771080993740924E+02   -0.158499188303122575E-01   -0.182822725906800591E-01   -0.318265205143974869E-01    0.114047748850559061E+01   -0.196020508380272684E+00    0.145505400729404639E-03    0.762743948238654435E+08
    0.316106984044964534E+02    0.888734073562342242E-01   -0.749771067426954545E+02   -0.158505448393154863E-01   -0.182814656110280131E-01   -0.318293112562016561E-01    0.114047340672442421E+01   -0.196020072514526855E+00    0.142251101253776634E-03    0.762743949681376517E+08
    0.316106989674456322E+02    0.888734868572596676E-01   -0.749771093954852006E+02   -0.158478277208604426E-01   -0.182780331281054247E-01   -0.318300579680651716E-01    0.114047092988207499E+01   -0.196021089577886470E+00    0.141037402660902639E-03    0.762743949921445101E+08
    0.316106990185039187E+02    0.888711495407116664E-01   -0.749771079853520916E+02   -0.158556221160375196E-01   -0.182776149310342126E-01   -0.318242330397090975E-01    0.114047618706171527E+01   -0.196015593611725020E+00    0.138234923389925169E-03    0.762743952681285590E+08
    0.316106996052511953E+02    0.888722292788553803E-01   -0.749771075565772804E+02   -0.158553321260788693E-01   -0.182819229114017448E-01   -0.318284383990813657E-01    0.114047118016504490E+01   -0.196024445305205963E+00    0.136179411237148798E-03    0.762743954125423580E+08
    0.316106978754588646E+02    0.888713347157405603E-01   -0.749771036029197404E+02   -0.158531108862785264E-01   -0.182758960219483943E-01   -0.318264576879168717E-01    0.114047535051927129E+01   -0.196024567095492569E+00    0.143449884372353508E-03    0.762743954949030280E+08
