A,e_A
2241.264503976930882,0.017138060353730
30631.104684977522993,0.652537636104835
289.942952494093333,21.381735088038944
7656.754140831762925,252.502678975546303
1126.724070243537426,5616.412629800985087
-468.120774823542888,2.565956518510651
2136.325158047489822,227.395908222963413
-63241.780396103858948,18748.531837888622249
45009.830638885498047,615456.973215166362934
-6927474.597778320312500,35249213.383550971746445
-8551.228566773235798,88.998746715617727
267.622716398909688,1957.093108570592676
-19811.900592148303986,29627.877168543702282
-53154.972062349319458,423547.974245773162693
-34974.839644491672516,7164.295804846643478
105609.976152896881104,180701.305003358749673
-164318.203353881835938,1700107.840786523651332
-1040737.276184082031250,35746563.497084446251392
-3705836.616310119628906,561402.243458516546525
-1638541.341964721679688,5600303.205390423536301
-7922770.970214843750000,115107406.858455851674080
1550940.833984375000000,18191392.018876194953918
-24524400.701171875000000,352625633.562285602092743
-429523399.484375000000000,1045507689.724324584007263
