x,theta
0.0,5.948238389290992
1.0,5.945926021383293
2.0,5.943612389372923
3.0,5.940277438366941
4.0,5.936942342334994
5.0,5.9346294030657205
6.0,5.93231519884538
7.0,5.928979659098388
8.0,5.948788502210661
9.0,5.943410289196962
10.0,5.94007007026444
11.0,5.960883582760502
12.0,5.958569317514744
13.0,5.955232762526755
14.0,5.9518960611619605
15.0,5.9495824843856795
16.0,5.9472676411548235
17.0,5.943930489359367
18.0,5.940593192812472
19.0,5.93725575163274
20.0,5.957083757303195
21.0,5.95579450043644
22.0,5.950408038529133
23.0,5.9702163360988365
24.0,5.966878035748394
25.0,5.964563826136008
26.0,5.9622483496394025
27.0,5.958909590725327
28.0,5.9555706854308
29.0,5.95223163359401
30.0,5.949916692247108
31.0,5.9476004810770675
32.0,5.967446585476665
33.0,5.96411108504347
34.0,5.958720800297897
35.0,5.978548311872288
36.0,5.97520811467853
37.0,5.9728929681517045
38.0,5.9705765531909165
39.0,5.967235893801046
40.0,5.9638950862217115
41.0,5.960554131022846
42.0,5.958238249377395
43.0,5.955921096169554
44.0,5.975786483422937
45.0,5.972449083905431
46.0,5.967054967484771
47.0,5.98690175548262
48.0,5.9835596577868415
49.0,5.980217406380753
50.0,5.97790116930512
51.0,5.975583659337161
52.0,5.972240947295987
53.0,5.968898086741085
54.0,5.9655550771857335
55.0,5.9622119186910325
56.0,5.982097780590678
57.0,5.978754487700186
58.0,5.975410644200338
59.0,5.995276774667474
60.0,5.991932770777645
61.0,5.988588615662543
62.0,5.985244309569168
63.0,5.981899852172653
64.0,5.97958236566668
65.0,5.9772636040352936
66.0,5.973918685473862
67.0,5.97057361680325
68.0,5.990478888598702
69.0,5.9850815358145155
70.0,5.981731784387776
71.0,6.001618435305588
72.0,5.998272538010404
73.0,5.995954548469555
74.0,5.993635283324835
75.0,5.990288916504468
76.0,5.986942398926679
77.0,5.983595728911993
78.0,5.9802489091152395
79.0,6.000170753879615
80.0,5.996827814315651
81.0,5.991422501575897
82.0,6.011325727334821
83.0,6.0090070816670575
84.0,6.00668716023219
85.0,6.003339199502975
86.0,5.999991084687274
87.0,5.9966428167825185
88.0,5.993294396087862
89.0,5.989945824286828
90.0,5.986597103278683
91.0,6.006539604673307
92.0,6.001134886544094
93.0,5.997781477921976
94.0,6.017705346912088
95.0,6.015385731317309
96.0,6.013064836998865
97.0,6.009714972903822
98.0,6.006364954365267
99.0,6.003014781800118
100.0,5.999664455642012
101.0,5.996313976916312
102.0,6.016273163083511
103.0,6.012926575667564
104.0,6.007513874621537
105.0,6.027454424726322
106.0,6.024103133032703
107.0,6.020751684119574
108.0,6.017400079026828
109.0,6.014048317794668
110.0,6.011727250439527
111.0,6.009404901664418
112.0,6.006052666597633
113.0,6.002700276098253
114.0,6.0226802465871
115.0,6.017268130920002
116.0,6.013911055437816
117.0,6.033872374548217
118.0,6.030519175254348
119.0,6.0271658175947564
120.0,6.023812302464123
121.0,6.020458631406598
122.0,6.017104804473668
123.0,6.013750822066889
124.0,6.010396683790816
125.0,6.03039457668055
126.0,6.024978926881317
127.0,6.02162010188475
128.0,6.041599336991823
129.0,6.038244392546467
130.0,6.034889289884525
131.0,6.031534029342467
132.0,6.028178610584455
133.0,6.0248230357363965
134.0,6.021467303541947
135.0,6.018111416460144
136.0,6.038127282922915
137.0,6.032708091891621
138.0,6.029347515291903
139.0,6.049344719330833
140.0,6.045988028351857
141.0,6.042631178803305
142.0,6.039274169543781
143.0,6.035917001570802
144.0,6.032559675526755
145.0,6.0292021916169745
146.0,6.025844549234364
147.0,6.045878448278856
148.0,6.040455708613848
149.0,6.037093378109773
150.0,6.0571086047132
151.0,6.053750166103676
152.0,6.050391566680531
153.0,6.047032807074466
154.0,6.043673887094222
155.0,6.040314808222853
156.0,6.036955569343199
157.0,6.03359617188881
158.0,6.053648156119621
159.0,6.04822186017978
160.0,6.044857773647067
161.0,6.064891076883271
162.0,6.061530888289262
163.0,6.058170536458199
164.0,6.054810024165214
165.0,6.051449350629511
166.0,6.048088516530065
167.0,6.044727521856757
168.0,6.041366369149749
169.0,6.0614364894299655
170.0,6.053934090424278
171.0,6.073982585930459
172.0,6.070620810355862
173.0,6.067258875065946
174.0,6.063896776957776
175.0,6.060534516023985
176.0,6.0571720938961064
177.0,6.053809509132634
178.0,6.050446763654627
179.0,6.070532122434301
180.0,6.067173307984291
181.0,6.061735745796497
182.0,6.081802416841519
183.0,6.078438890348032
184.0,6.07507520077764
185.0,6.071711346647987
186.0,6.068347328051168
187.0,6.064983146638845
188.0,6.061618802172887
189.0,6.058254297559415
190.0,6.078357896151047
191.0,6.070849288159977
192.0,6.067480096968168
193.0,6.087566130121708
194.0,6.084200852331762
195.0,6.080835409902527
196.0,6.077469802615809
197.0,6.0741040306171215
