car-20160110T04h29m46s-sci-gtoc-vis.fits;2457397.692135427;4.500114788532942;103.89;HD 147379 J16167+672S;600.1;0;0;1.4793;58591.07;241910.9
car-20160111T05h27m53s-sci-gtoc-vis.fits;2457398.7352905488;4.42371042711126;90.787;HD 147379 J16167+672S;1000.8;0;0;1.3244;58592.47;241911.4
car-20160113T05h58m18s-sci-gtoc-vis.fits;2457400.7538841707;4.296152841400653;191.52;HD 147379 J16167+672S;650.1;0;0;1.2712;58591.86;241914.1
car-20160114T05h58m52s-sci-gtoc-vis.fits;2457401.7547960333;4.235597497387615;142.2;HD 147379 J16167+672S;750.1;0;0;1.2624;58591.76;241913.2
car-20160124T04h08m07s-sci-gtoc-vis.fits;2457411.6740301987;3.624803780248434;0.54352;J16167+672S HD 147379;35.0;0;64;1.4186;58603.04;241911.8
car-20160124T04h09m19s-sci-gtoc-vis.fits;2457411.6781841367;3.622687030440593;0.79522;J16167+672S HD 147379;600.4;0;64;1.0844;39810.81;78757.2
car-20160128T04h25m45s-sci-gtoc-vis.fits;2457415.6890475038;3.324501658943042;134.44;J16167+672S;500.1;0;0;1.3311;58592.49;241910.7
car-20160201T05h04m21s-sci-gtoc-vis.fits;2457419.7129765265;2.999316487041304;248.96;J16167+672S;0.0;0;0;1.2442;58592.64;241916.1
car-20160203T05h32m56s-sci-gtoc-vis.fits;2457421.7357244906;2.820270263732188;254.79;J16167+672S;500.1;0;0;1.2061;58592.62;241916.8
car-20160204T03h35m54s-sci-gtoc-vis.fits;2457422.6567891818;2.796778756167521;222.34;J16167+672S;900.1;0;0;1.3617;58592.11;241909.3
car-20160208T05h49m20s-sci-gtoc-vis.fits;2457426.748617381;2.3911851064817315;201.51;J16167+672S;750.1;0;0;1.1757;58593.22;241918.4
car-20160209T02h27m11s-sci-gtoc-vis.fits;2457427.607084578;2.4052617910851266;120.73;J16167+672S;550.1;0;0;1.4945;58593.51;241907.3
car-20160212T03h08m32s-sci-gtoc-vis.fits;2457430.6372688096;2.131672100556818;115.7;J16167+672S;800.2;0;0;1.3568;58592.77;241904.4
car-20160218T03h09m07s-sci-gtoc-vis.fits;2457436.6383660934;1.597307415079322;112.13;J16167+672S;900.1;0;0;1.3086;58594.16;241903.5
car-20160222T03h07m31s-sci-gtoc-vis.fits;2457440.6360879666;1.236255094432461;170.07;J16167+672S;700.2;0;0;1.2907;58594.88;241908.4
car-20160223T06h07m26s-sci-gtoc-vis.fits;2457441.761497529;1.032078873225869;157.48;J16167+672S;800.1;0;0;1.1546;58595.19;241913.7
car-20160226T04h29m16s-sci-gtoc-vis.fits;2457444.6919877892;0.8224505845620675;151.51;J16167+672S;600.1;0;0;1.1832;58595.58;241914.7
car-20160319T05h25m39s-sci-gtoc-vis.fits;2457466.7302473076;-1.2566349760638162;130.78;J16167+672S;400.1;0;0;1.1633;244.186666666667;67.2566388888889
car-20160325T04h02m02s-sci-gtoc-vis.fits;2457472.6727423463;-1.729099867398356;240.46; J16167+672S;500.1;0;0;1.1551;244.175958333333;67.2392222222222
car-20160412T02h50m00s-sci-gtoc-vis.fits;2457490.62308265;-3.130980012183893;174.44;J16167+672S;600.1;0;0;1.1553;244.186666666667;67.2566388888889
car-20160417T02h35m22s-sci-gtoc-vis.fits;2457495.612823575;-3.471327116278569;118.1; J16167+672S;600.1;0;0;1.1548;244.175958333333;67.2392222222222
car-20160427T01h09m49s-sci-gtoc-vis.fits;2457505.553177012;-4.030417639765864;161.49;J16167+672S;550.0;0;0;1.1665;244.175958333333;67.2392222222222
car-20160501T02h15m19s-sci-gtoc-vis.fits;2457509.5989359342;-4.289074853679915;178.71;J16167+672S;600.0;0;0;1.1572;244.175958333333;67.2392222222222
car-20160521T00h04m44s-sci-gtoc-vis.fits;2457529.5072750705;-4.95900585115599;236.65;J16167+672S;500.0;0;0;1.1572;244.175958333333;67.2392222222222
car-20160529T02h12m19s-sci-gtoc-vis.fits;2457537.5979993967;-5.181845312555037;107.21;J16167+672S;900.8;0;0;1.2266;244.186666666667;67.2566388888889
car-20160529T02h29m30s-sci-gtoc-vis.fits;2457537.6099274307;-5.190544196006376;88.713;J16167+672S;900.0;0;0;1.2472;244.186666666667;67.2566388888889
car-20160530T23h35m15s-sci-gtoc-vis.fits;2457539.4871523906;-5.108702575721858;190.99;J16167+672S;600.0;0;0;1.1556;244.175958333333;67.2392222222222
car-20160603T00h06m36s-sci-gtoc-vis.fits;2457542.5123436907;-5.155108633774321;230.6;J16167+672S;1200.0;0;0;1.1575;246.354541666667;54.3033333333333
car-20160610T22h25m55s-sci-gtoc-vis.fits;2457550.4370807367;-5.081994849255718;66.105;J16167+672S;300.0;0;0;1.1616;244.183041666667;67.2566111111111
car-20160610T22h37m03s-sci-gtoc-vis.fits;2457550.446548167;-5.090389531472111;128.26;J16167+672S;600.0;0;0;1.1583;244.183041666667;67.2566111111111
car-20160613T22h30m46s-sci-gtoc-vis.fits;2457553.441555152;-5.05865676297043;121.05;J16167+672S;500.0;0;0;1.1571;244.172333333333;67.2391944444445
car-20160616T00h58m44s-sci-gtoc-vis.fits;2457555.545976088;-5.121057488245153;109.4;J16167+672S;800.0;0;0;1.2235;244.183041666667;67.2566111111111
car-20160718T21h46m42s-sci-gtoc-vis.fits;2457588.4107490894;-3.8288814819539905;164.95;J16167+672S;600.2;0;0;1.173;244.172333333333;67.2391944444445
car-20160719T20h17m18s-tst-vis.fits;2457589.345698492;-3.718395729352534;0.52709;J16167+672S;46.0;0;64;1.8681;165.831;35.9476944444444
