wlc,wll,posc,posm,posme,posmy,d,sd,k,order,flag
5182.46309188,5182.46665676,0.00000000,1828.86131645,0.05225847,11.05809597,0.01998461,0.01998463,38562,118,1
5182.46309188,5182.46665676,0.00000000,1828.86131645,0.05225847,11.05809597,0.01998461,0.01998463,38562,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,11.14501769,nan,0.00000000,-2147483648,118,1
5182.74965288,5182.73552540,0.00000000,1841.55675802,0.38183385,11.23739739,0.01998468,0.01998463,38560,118,1
5182.87797463,5182.86997018,0.00000000,1847.24828861,0.25257777,11.31719341,0.01998466,0.01998463,38559,118,1
5183.00436085,5183.00442193,1852.85627577,1852.85356418,0.09895368,11.39541718,0.01998463,0.01998463,38558,118,0
nan,nan,0.00000000,-1.00000000,0.00000000,11.49461768,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,11.54987875,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,11.63241085,nan,0.00000000,-2147483648,118,1
5183.54444448,5183.54229870,0.00000000,1876.87394340,0.06985369,11.72642679,0.01998464,0.01998463,38554,118,1
5183.68349660,5183.67678533,0.00000000,1883.06892220,0.05506916,11.81065714,0.01998466,0.01998463,38553,118,1
5183.68349660,nan,0.00000000,1883.06892220,0.05506916,11.81065714,0.01998466,0.01998463,38553,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,11.90432611,nan,0.00000000,-2147483648,118,1
5183.95331390,nan,0.00000000,1895.10344972,0.18806202,11.97290588,0.01998466,0.01998463,38551,118,1
5184.07657121,5184.08028709,0.00000000,1900.60709956,0.01201224,12.04648800,0.01998462,0.01998463,38550,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,12.10493702,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,12.14470748,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,12.19754951,nan,0.00000000,-2147483648,118,1
5184.48108169,5184.48385166,0.00000000,1918.69603276,0.11994763,12.28552919,0.01998462,0.01998463,38547,118,1
5184.61668025,5184.61838715,1924.84773293,1924.77125365,0.09280953,12.36482786,0.01998462,0.01998463,38546,118,0
5184.75577144,5184.75292961,0.00000000,1931.00320797,0.06360559,12.44564766,0.01998464,0.01998463,38545,118,1
5184.89149124,5184.88747906,0.00000000,1937.09105913,0.15900370,12.52407939,0.01998465,0.01998463,38544,118,1
5185.02612896,5185.02203549,0.00000000,1943.13500928,0.14318971,12.60143191,0.01998465,0.01998463,38543,118,1
5185.15795476,5185.15659891,1948.99665863,1949.05758570,0.10641144,12.67672899,0.01998464,0.01998463,38542,118,0
5185.29729586,5185.29116930,0.00000000,1955.32188224,0.17713746,12.75582368,0.01998465,0.01998463,38541,118,1
5185.29729586,5185.29116930,0.00000000,1955.32188224,0.17713746,12.75582368,0.01998465,0.01998463,38541,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,12.85199364,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,12.90175224,nan,0.00000000,-2147483648,118,1
5185.69294814,5185.69492240,0.00000000,1973.13730019,0.22266315,12.97763767,0.01998462,0.01998463,38538,118,1
5185.83787125,5185.82952074,0.00000000,1979.67300304,0.12822093,13.05783043,0.01998466,0.01998463,38537,118,1
5185.96572889,5185.96412606,0.00000000,1985.44361154,0.18904126,13.12809957,0.01998464,0.01998463,38536,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,13.19528054,nan,0.00000000,-2147483648,118,1
5186.23121629,5186.23335766,0.00000000,1997.43944894,0.11276304,13.27254415,0.01998462,0.01998463,38534,118,1
5186.23121629,5186.23335766,0.00000000,1997.43944894,0.11276304,13.27254415,0.01998462,0.01998463,38534,118,1
5186.37166999,5186.36798395,0.00000000,2003.79317393,0.27196284,13.34814793,0.01998465,0.01998463,38533,118,1
5186.37166999,nan,0.00000000,2003.79317393,0.27196284,13.34814793,0.01998465,0.01998463,38533,118,1
5186.62107016,5186.63725748,0.00000000,2015.08805678,0.67064172,13.48097996,0.01998457,0.01998463,38531,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,13.57281743,nan,0.00000000,-2147483648,118,1
5186.90143967,5186.90655897,0.00000000,2027.80501278,0.13774976,13.62809917,0.01998461,0.01998463,38529,118,1
5187.03853420,5187.04122021,0.00000000,2034.03087942,0.08016464,13.69916971,0.01998462,0.01998463,38528,118,1
5187.16940660,5187.17588843,0.00000000,2039.97882593,0.13816232,13.76647458,0.01998461,0.01998463,38527,118,1
5187.31094605,5187.31056364,2046.39048781,2046.40788219,0.12056022,13.83856622,0.01998463,0.01998463,38526,118,0
5187.43793513,5187.44524585,0.00000000,2052.19728113,0.28689724,13.90289606,0.01998460,0.01998463,38525,118,1
5187.56291464,5187.57993505,0.00000000,2057.89059474,0.19549929,13.96560955,0.01998457,0.01998463,38524,118,1
5187.84892861,5187.84933443,2070.93980303,2070.92127831,0.19546551,14.10707708,0.01998463,0.01998463,38522,118,0
5187.84892861,5187.84933443,2070.93980303,2070.92127831,0.19546551,14.10707708,0.01998463,0.01998463,38522,118,0
5187.99028707,nan,0.00000000,2077.39073774,0.09031074,14.17623157,0.01998466,0.01998463,38521,118,1
5188.13120871,5188.11876179,0.00000000,2083.83148440,0.24900763,14.24435900,0.01998468,0.01998463,38520,118,1
5188.25618862,5188.25348596,0.00000000,2089.54811476,0.11306850,14.30422070,0.01998464,0.01998463,38519,118,1
5188.38824940,5188.38821713,2095.58034954,2095.58182742,0.11511622,14.36677981,0.01998463,0.01998463,38518,118,0
5188.52246077,5188.52295530,2101.75385703,2101.73118951,0.18020223,14.42987527,0.01998463,0.01998463,38517,118,0
5188.63928433,nan,0.00000000,2107.09747298,0.24487106,14.48438573,0.01998456,0.01998463,38516,118,1
5188.80437011,5188.79245262,0.00000000,2114.67227314,0.15754549,14.56045124,0.01998468,0.01998463,38515,118,1
5188.93103784,5188.92721178,0.00000000,2120.48935504,0.18926066,14.61816269,0.01998465,0.01998463,38514,118,1
5189.06315045,5189.06197794,2126.49899330,2126.55290374,0.02944238,14.67766459,0.01998464,0.01998463,38513,118,0
5189.18543016,5189.19675109,0.00000000,2132.18536404,0.17129630,14.73233384,0.01998459,0.01998463,38512,118,1
5189.35684887,nan,0.00000000,2140.07661287,0.22973207,14.80794485,0.01998577,0.01998463,38513,118,1
5189.46282520,5189.46631841,0.00000000,2144.95928999,0.13944238,14.85415126,0.01998462,0.01998463,38510,118,1
5189.59111071,5189.60111257,0.00000000,2150.87398906,0.10961196,14.90952904,0.01998460,0.01998463,38509,118,1
5189.74505474,5189.73591373,0.00000000,2157.97772996,0.10687443,14.97517299,0.01998467,0.01998464,38508,118,1
5189.88174700,5189.87072189,0.00000000,2164.29092246,0.18969626,15.03271321,0.01998468,0.01998464,38507,118,1
