2457612.65621 nan nan car-20160812T03h36m13s-sci-gtoc-vis.fits 64
2457614.61056 nan nan car-20160814T02h27m04s-sci-gtoc-vis.fits 256
2457615.60756 nan nan car-20160815T02h21m06s-sci-gtoc-vis.fits 64
2457615.61522 nan nan car-20160815T02h31m44s-sci-gtoc-vis.fits 64
2457615.62224 nan nan car-20160815T02h42m22s-sci-gtoc-vis.fits 64
2457615.63097 nan nan car-20160815T02h53m01s-sci-gtoc-vis.fits 320
2457615.64435 nan nan car-20160815T03h14m17s-sci-gtoc-vis.fits 64
2457615.65191 nan nan car-20160815T03h24m56s-sci-gtoc-vis.fits 64
2457618.66134 nan nan car-20160818T03h38m37s-sci-gtoc-vis.fits 64
2457618.66885 nan nan car-20160818T03h49m17s-sci-gtoc-vis.fits 64
2457618.67618 nan nan car-20160818T03h59m57s-sci-gtoc-vis.fits 64
2457618.6837 nan nan car-20160818T04h10m37s-sci-gtoc-vis.fits 64
2457653.36239 nan nan car-20160921T20h31m21s-sci-GTOC-vis.fits 64
2457653.3696 nan nan car-20160921T20h37m49s-sci-GTOC-vis.fits 64
2457653.37684 nan nan car-20160921T20h48m36s-sci-GTOC-vis.fits 64
2457653.38502 nan nan car-20160921T21h00m06s-sci-GTOC-vis.fits 64
2457653.39263 nan nan car-20160921T21h11m03s-sci-GTOC-vis.fits 64
2457653.40032 nan nan car-20160921T21h21m49s-sci-GTOC-vis.fits 64
2457653.4076 nan nan car-20160921T21h32m32s-sci-GTOC-vis.fits 64
2457653.41463 nan nan car-20160921T21h43m12s-sci-GTOC-vis.fits 64
2457653.42232 nan nan car-20160921T21h53m52s-sci-GTOC-vis.fits 64
2457653.42963 nan nan car-20160921T22h04m32s-sci-GTOC-vis.fits 64
2457653.44043 nan nan car-20160921T22h19m50s-sci-GTOC-vis.fits 64
2457659.48149 nan nan car-20160927T23h18m59s-sci-tris-vis.fits 64
2457665.42675 nan nan car-20161003T22h05m01s-sci-triA-vis.fits 64
2457665.55423 nan nan car-20161004T01h08m43s-sci-triA-vis.fits 256
2457699.32488 nan nan car-20161106T19h37m33s-sci-tria-vis.fits 320
2457699.33372 nan nan car-20161106T19h50m50s-sci-tria-vis.fits 64
2457699.36594 nan nan car-20161106T20h36m54s-sci-tria-vis.fits 64
2457699.37116 nan nan car-20161106T20h47m46s-sci-tria-vis.fits 320
2457699.37981 nan nan car-20161106T20h58m40s-sci-tria-vis.fits 320
2457699.39213 nan nan car-20161106T21h11m37s-sci-tria-vis.fits 320
2457699.39889 nan nan car-20161106T21h23m56s-sci-tria-vis.fits 64
2457699.40624 nan nan car-20161106T21h35m07s-sci-tria-vis.fits 64
2457699.41451 nan nan car-20161106T21h46m08s-sci-tria-vis.fits 64
