x,theta
0.0,6.0822786523140735
1.0,6.080893135799606
2.0,6.080540515672816
3.0,6.080186743095169
4.0,6.0788010482184305
5.0,6.07844840622171
6.0,6.078094610706302
7.0,6.099106395452807
8.0,6.097723349705717
9.0,6.096336249935291
10.0,6.094952837627673
11.0,6.093565368363755
12.0,6.1145631483668765
13.0,6.1142128387914525
14.0,6.1138613818200795
15.0,6.112476551845624
16.0,6.111091639063524
17.0,6.11074126148857
18.0,6.110389734821858
19.0,6.109004640010944
20.0,6.108654242711502
21.0,6.108302693761246
22.0,6.106917419655126
23.0,6.106567001977375
24.0,6.106215432171162
25.0,6.104829978422337
26.0,6.1034444384083315
27.0,6.103093953540942
28.0,6.102742315056652
29.0,6.101356595254494
30.0,6.10100609002378
31.0,6.100654430151366
32.0,6.099268531575198
33.0,6.097882546515947
34.0,6.097531974092959
35.0,6.097180245507964
36.0,6.118241454273971
37.0,6.116858134430871
38.0,6.11340155371758
39.0,6.112013811078143
40.0,6.1340959179250945
41.0,6.133746525874869
42.0,6.132361523509651
43.0,6.130976435629876
44.0,6.130628128641533
45.0,6.130278668539177
46.0,6.128893400266975
47.0,6.12750804624438
48.0,6.127159672414251
49.0,6.126810144643123
50.0,6.125424609782158
51.0,6.124038989513089
52.0,6.123690549049009
53.0,6.123340954048615
54.0,6.121955152890436
55.0,6.12056926677991
56.0,6.120220759707614
57.0,6.119871097383211
58.0,6.118485029660995
59.0,6.1170988771582415
60.0,6.116750304025295
61.0,6.116400575102659
62.0,6.115014240300006
63.0,6.136121692318397
64.0,6.134738132950275
65.0,6.131276892604163
66.0,6.129888901592011
67.0,6.152019452552743
68.0,6.151672040324428
69.0,6.150286803695657
70.0,6.148901481586741
71.0,6.147516073376956
72.0,6.147169696530753
73.0,6.1468221647172
74.0,6.145436575431923
75.0,6.144050899942982
76.0,6.143704458068896
77.0,6.143356859850613
78.0,6.141971003536554
79.0,6.140585060550627
80.0,6.13919903123729
81.0,6.138852477397037
82.0,6.138504765066017
83.0,6.137118555063104
84.0,6.135732258918679
85.0,6.134345876570379
86.0,6.1339992109426404
87.0,6.133651383503988
88.0,6.132264820770246
89.0,6.153417056837981
90.0,6.1520332809812714
91.0,6.148567544801907
92.0,6.147179328777838
93.0,6.168315786351968
94.0,6.166930349079777
95.0,6.166585918854921
96.0,6.166240334543588
97.0,6.16485471510024
98.0,6.163469008678099
99.0,6.162083215557651
100.0,6.160697335571818
101.0,6.160352748706785
102.0,6.1600070029434235
103.0,6.158620941316698
104.0,6.157234793091149
105.0,6.155848558624662
106.0,6.154462237395613
107.0,6.154117491490084
108.0,6.153771585540902
109.0,6.152385082918201
110.0,6.150998493361186
111.0,6.149611817743029
112.0,6.148225053023012
113.0,6.169418773018663
114.0,6.168034810522329
115.0,6.166646767089034
116.0,6.163176513835637
117.0,6.185397448729091
118.0,6.185053759881761
119.0,6.183668132244698
120.0,6.182282416788588
121.0,6.180896614646777
122.0,6.1795107261177336
123.0,6.178124749936742
124.0,6.1767386862585525
125.0,6.176395901517836
126.0,6.17605195685384
127.0,6.174665711445158
128.0,6.173279378732275
129.0,6.171892959069353
130.0,6.170506452072509
131.0,6.169119858079505
132.0,6.167733177041917
133.0,6.16739014141919
134.0,6.167045940926009
135.0,6.165659078923603
136.0,6.164272128202811
137.0,6.185507601924925
138.0,6.184123465177407
139.0,6.180649415946718
140.0,6.179260822993783
141.0,6.200480506462128
142.0,6.199094718438111
143.0,6.197708841617384
144.0,6.196322877184507
145.0,6.194936825134803
146.0,6.193550685573996
147.0,6.193209695851756
148.0,6.192867544075796
149.0,6.191481221892545
150.0,6.190094811622458
151.0,6.188708314380378
152.0,6.187321729342969
153.0,6.185935057248699
154.0,6.184548297131464
155.0,6.183161448716547
156.0,6.1817745139727265
157.0,6.18038749208592
158.0,6.179000382642741
159.0,6.178658955294992
160.0,6.200979230461286
161.0,6.197501554462264
162.0,6.194023322227395
163.0,6.215281364097969
164.0,6.213895433771306
165.0,6.212509410599026
166.0,6.211123302328431
167.0,6.210784096965838
168.0,6.210443729062668
169.0,6.209057436849058
170.0,6.207671056923239
171.0,6.20628458893038
172.0,6.204898032845065
173.0,6.203511389025941
174.0,6.202124656681505
175.0,6.200737837401022
176.0,6.199350929029684
177.0,6.197963933248893
178.0,6.196576849337802
179.0,6.195189677242631
180.0,6.193802418266046
181.0,6.21511484739014
182.0,6.213730425161415
183.0,6.2102487396441575
184.0,6.2088598463426905
185.0,6.230156477321479
186.0,6.228770411720092
187.0,6.227384258154665
188.0,6.225998016452834
189.0,6.2246116845605926
190.0,6.223225264415248
191.0,6.221838756911197
192.0,6.22045215941715
193.0,6.2190654746330765
194.0,6.21767870076404
195.0,6.216291838982023
196.0,6.214904888152802
197.0,6.213517849387493
198.0,6.212130722426572
199.0,6.210743507322761
200.0,6.209356201562599
201.0,6.207968807514192
202.0,6.229318212641758
203.0,6.227933669485793
204.0,6.224448332807057
205.0,6.223059311400348
206.0,6.244392910364816
207.0,6.2430067289538655
208.0,6.241620457994536
209.0,6.240234099037373
210.0,6.2388476501133425
211.0,6.237461112120727
212.0,6.23607448484951
213.0,6.234687769136137
214.0,6.233300964526109
215.0,6.2319140710407765
216.0,6.230527088799249
217.0,6.229140017825493
218.0,6.227752858008422
219.0,6.226365609091133
220.0,6.224978271926929
221.0,6.223590846077933
222.0,6.222203331207112
223.0,6.243589919633706
224.0,6.238001238342193
225.0,6.236612104296711
226.0,6.257981021276443
227.0,6.256594739300134
228.0,6.255208367313408
229.0,6.253821904524308
230.0,6.252435353317665
231.0,6.251048711792748
232.0,6.249661982191462
233.0,6.248275162681303
234.0,6.246888254166407
235.0,6.2455012558348955
236.0,6.243061668925598
237.0,6.240623074492916
238.0,6.239235725580777
239.0,6.237848288005829
240.0,6.2364607589681995
241.0,6.235073146230498
242.0,6.256493383881818
243.0,6.253001455945665
244.0,6.249508961594287
245.0,6.270911514478513
246.0,6.269525147557374
247.0,6.268138685824141
248.0,6.266752136428764
